image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2010_004184.jpg,1.0,7.900000000000001e-05,0.0,0.0,1.8e-05,8e-06,4.3e-05,1e-06,1e-06,2.5e-05,1e-06,1e-06,0.000121,2e-06,0.001052,0.000126,3e-06,0.0,0.000171,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_003801.jpg,1.0,0.00015,0.0,0.0,2.9999999999999997e-05,0.0002,0.000528,5e-06,0.0,3e-06,0.0,1e-06,1.3000000000000001e-05,8e-06,0.000198,6.9e-05,1e-06,0.0,2.5e-05,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2009_002752.jpg,1.0,2.9999999999999997e-05,0.0,0.0,4e-06,6.4e-05,0.00023500000000000002,1e-06,0.0,2e-06,0.0,0.0,2.6000000000000002e-05,2e-06,0.000651,1.6e-05,3e-06,0.0,1.2e-05,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2009_000260.jpg,1.0,2.9999999999999997e-05,0.0,1e-06,1.6e-05,1.4000000000000001e-05,4.8e-05,1e-06,1e-06,1.4000000000000001e-05,1e-06,0.0,9.4e-05,1e-06,0.000499,3.9e-05,2e-06,0.0,0.000147,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2009_002941.jpg,1.0,3.7e-05,1e-06,3e-06,2.6000000000000002e-05,1e-06,2.2e-05,8.7e-05,1e-06,4e-06,3e-06,1e-06,1.9e-05,1e-06,0.000206,6.2e-05,1e-06,0.0,6e-06,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_002138.jpg,1.0,0.000161,1e-06,1e-06,2.7000000000000002e-05,2.5e-05,0.000272,7.000000000000001e-06,2e-06,7.7e-05,2e-06,3e-06,0.00011499999999999999,1.1e-05,0.00147,0.000143,1e-05,0.0,1.3000000000000001e-05,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_005268.jpg,1.0,7.900000000000001e-05,2e-06,2e-06,0.000121,1e-06,8e-06,2.5e-05,2e-06,0.0,3e-06,1e-06,5e-06,3e-06,0.000105,0.000147,1e-06,0.0,0.0,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_006200.jpg,1.0,4.3e-05,0.0,0.0,1.6e-05,2e-05,0.000139,1e-06,0.0,3.7e-05,0.0,0.0,0.00011899999999999999,2e-06,0.00065,2.7000000000000002e-05,9e-06,0.0,7.000000000000001e-06,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_007229.jpg,0.999999,4.1e-05,0.0,0.0,3.2e-05,1.6e-05,0.000172,0.0,0.0,9.7e-05,0.0,0.0,0.00041600000000000003,4e-06,0.0009109999999999999,6.3e-05,1e-05,0.0,6.3e-05,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_006621.jpg,0.999999,2.7000000000000002e-05,5e-06,7.000000000000001e-06,5.4000000000000005e-05,6e-06,5.7999999999999994e-05,7.2e-05,8e-06,2e-05,6e-06,2e-06,1.6e-05,4e-06,0.00024300000000000002,0.000101,2e-06,1e-06,4e-06,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2011_002929.jpg,0.999999,6.2e-05,0.0,2e-06,2.7000000000000002e-05,0.00011499999999999999,0.000131,2e-06,0.0,2.8000000000000003e-05,1e-06,1e-06,0.00011999999999999999,3.7e-05,0.0026320000000000002,7.3e-05,8e-06,0.0,0.000105,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_006896.jpg,0.999999,3.3e-05,4e-06,2e-06,2.7000000000000002e-05,6e-06,8.6e-05,4.2e-05,3e-06,3.1e-05,3e-06,1e-06,6.9e-05,1.1e-05,0.00028199999999999997,0.00011,3e-06,0.0,1.3000000000000001e-05,3e-06
