image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2009_000461.jpg,3e-06,0.9999709999999999,8e-06,1.7e-05,0.152367,0.001033,0.10089400000000001,9e-06,0.0010550000000000002,1e-06,2.1e-05,5.9999999999999995e-05,0.000697,0.002384,0.9919100000000001,0.047173,1.1e-05,1.6e-05,2.4e-05,6e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_000829.jpg,0.000101,0.9999450000000001,3.5e-05,9.2e-05,0.042719,0.004027,0.078819,0.0006450000000000001,0.00655,1e-05,7.099999999999999e-05,0.000169,0.000152,0.000807,0.06112000000000001,0.20114,1.1e-05,0.00011999999999999999,0.000206,0.00016299999999999998
../data/VOCdevkit/VOC2012\JPEGImages\2008_005190.jpg,8.2e-05,0.999771,9.2e-05,2.2e-05,0.074545,0.020056,0.098603,0.000102,0.0029620000000000002,4e-06,4.4e-05,7.5e-05,0.000299,0.003077,0.674093,0.009801,5e-05,4.8e-05,0.0053289999999999995,8.1e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_000756.jpg,5.5e-05,0.999727,0.000174,0.000122,0.042856,0.000617,0.049767,0.00619,0.048852,5e-06,8.4e-05,0.000117,3.7e-05,0.000128,0.011767,0.211682,1e-05,0.00014199999999999998,4.7e-05,0.000181
../data/VOCdevkit/VOC2012\JPEGImages\2011_000950.jpg,0.000303,0.9996879999999999,4e-05,8.3e-05,0.031584,0.005203,0.17186700000000002,0.000925,0.008313,1.4999999999999999e-05,0.000183,0.00021400000000000002,6.2e-05,0.000826,0.02279,0.36913,2.3e-05,0.00011899999999999999,0.00033,4.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_000898.jpg,7.099999999999999e-05,0.9995860000000001,6.8e-05,2.7000000000000002e-05,0.016681,0.00021899999999999998,0.032077,0.001716,0.0059229999999999994,3e-06,8.4e-05,0.000192,1e-05,0.001233,0.0065650000000000005,0.551025,2e-06,9.1e-05,5e-06,4.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_003251.jpg,0.0001,0.999495,1e-05,1.9e-05,0.029108999999999996,0.011483,0.09411699999999999,4.1e-05,0.001464,3.1e-05,1.6e-05,0.000231,0.000301,0.005456,0.063189,0.422943,2.2e-05,2.8999999999999997e-05,5.5e-05,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2011_001138.jpg,0.000244,0.9994930000000001,1.6e-05,3.3e-05,0.0342,0.001929,0.114946,0.0009390000000000001,0.009265,6e-06,0.00040199999999999996,0.000198,4.8e-05,0.0006889999999999999,0.018306,0.6679689999999999,3e-06,8.4e-05,0.00212,4.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_005556.jpg,1.4000000000000001e-05,0.99946,4.4e-05,7.900000000000001e-05,0.015711000000000003,0.000205,0.030092,0.0005690000000000001,0.029782999999999997,1e-06,0.000276,9.8e-05,4.8e-05,4.6e-05,0.006866,0.727969,0.0,5.4000000000000005e-05,3.2e-05,0.00011899999999999999
../data/VOCdevkit/VOC2012\JPEGImages\2011_003169.jpg,0.000123,0.999293,0.000121,8.1e-05,0.065303,0.003622,0.158377,0.004301,0.011086,3.4e-05,0.00022999999999999998,0.001178,9e-05,0.0033520000000000004,0.026920999999999997,0.40575700000000003,3.5e-05,0.000297,0.000259,0.000132
