image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2009_004780.jpg,0.001779,7.5e-05,0.001016,0.999933,0.000691,0.00036899999999999997,0.002173,5.7999999999999994e-05,0.00027400000000000005,5e-06,0.00022799999999999999,4.4e-05,3.8e-05,1.4000000000000001e-05,0.02719,0.001036,6e-06,2e-06,2e-05,2.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_002565.jpg,0.060633000000000006,7.900000000000001e-05,0.000299,0.999489,0.000336,0.00025499999999999996,0.026297000000000004,0.000348,0.00042,3e-06,0.00018899999999999999,2e-05,1.8e-05,2e-06,0.010931,0.0036009999999999996,9e-06,1e-06,9.499999999999999e-05,5.3e-05
../data/VOCdevkit/VOC2012\JPEGImages\2011_001592.jpg,0.000807,0.00044699999999999997,0.0012259999999999999,0.999092,0.001119,0.000412,0.003394,0.000798,0.00292,4e-06,0.000301,7.5e-05,2.5e-05,3e-06,0.101801,0.016191999999999998,6e-06,1.2e-05,0.001046,0.00018
../data/VOCdevkit/VOC2012\JPEGImages\2009_003043.jpg,0.014374000000000001,0.00020299999999999997,0.0016469999999999998,0.9989309999999999,0.002577,0.000604,0.002153,0.000171,0.0009550000000000001,2.8999999999999997e-05,0.000306,0.000145,0.000175,2.8999999999999997e-05,0.1725,0.0031,1.3000000000000001e-05,1.2e-05,4.9e-05,0.000204
../data/VOCdevkit/VOC2012\JPEGImages\2008_000957.jpg,0.000241,0.000161,0.000408,0.9986510000000001,0.003725,0.000143,0.002705,0.000377,0.007628,7.000000000000001e-06,0.0006389999999999999,0.000218,0.000298,9e-06,0.27387100000000003,0.010339,3e-06,1.1e-05,9.6e-05,0.000337
../data/VOCdevkit/VOC2012\JPEGImages\2009_000469.jpg,0.002395,0.000153,0.000109,0.99844,0.00061,0.001693,0.014844,0.000129,0.000492,2e-06,0.00011399999999999999,4.9e-05,2.4e-05,4e-06,0.035493000000000004,0.002905,6e-06,3e-06,0.002321,0.000591
../data/VOCdevkit/VOC2012\JPEGImages\2010_002117.jpg,0.008208,0.00020899999999999998,0.0008820000000000001,0.9982700000000001,0.001052,0.001541,0.005685,0.000225,0.000363,6.7e-05,0.000121,0.000205,0.000348,7.8e-05,0.163732,0.001149,3.9e-05,1.1e-05,0.000129,4.7e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_005628.jpg,0.009299,0.000281,0.0017670000000000001,0.998086,0.0015869999999999999,0.001163,0.005386999999999999,0.000204,0.0004,0.00011999999999999999,0.00037400000000000004,9e-05,0.0005059999999999999,0.000144,0.104171,0.0037159999999999997,4.4e-05,1.3000000000000001e-05,7.6e-05,4.6e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_002449.jpg,0.001615,0.000319,0.002313,0.998007,0.002785,0.001703,0.025214,0.000161,0.061561000000000005,4.4e-05,0.005911,0.00011100000000000001,0.000889,0.00011200000000000001,0.023258,0.005576,5.2000000000000004e-05,5.5e-05,0.000754,0.00038700000000000003
../data/VOCdevkit/VOC2012\JPEGImages\2008_006229.jpg,0.042814,0.00020800000000000001,0.00023199999999999997,0.994238,0.0007019999999999999,0.005443,0.044953,7.4e-05,0.001094,3.4e-05,0.000542,7.6e-05,0.00026000000000000003,0.000113,0.039370999999999996,0.0021100000000000003,3.3e-05,1.1e-05,0.002664,0.000134
../data/VOCdevkit/VOC2012\JPEGImages\2011_001793.jpg,0.0017690000000000002,0.0008359999999999999,0.004576,0.9938600000000001,0.004273,0.001557,0.015387999999999999,0.000595,0.0063030000000000004,4.3e-05,0.000624,0.000275,0.00023799999999999998,5.7999999999999994e-05,0.135231,0.011463,1.6e-05,4.8e-05,0.007689,0.00028199999999999997
../data/VOCdevkit/VOC2012\JPEGImages\2010_000906.jpg,0.04817,0.000528,0.000711,0.991265,0.001301,0.001648,0.028504,0.000184,0.000576,0.000135,0.000517,8.8e-05,0.000298,0.001102,0.071823,0.005651,5.5e-05,8e-06,0.002098,1.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_007574.jpg,0.001,0.000977,0.011304,0.990848,0.0076159999999999995,0.000644,0.005965,0.000576,0.005383,4.1e-05,0.0009019999999999999,0.000264,0.00031,0.000106,0.203214,0.0037630000000000003,2.3e-05,7.8e-05,0.000938,0.0004
../data/VOCdevkit/VOC2012\JPEGImages\2008_005664.jpg,0.10641800000000001,0.00013000000000000002,0.000653,0.990721,0.001559,0.000753,0.001459,7.8e-05,0.000379,8e-05,0.000493,3.9e-05,0.00031600000000000004,5.9e-05,0.055034000000000007,0.001158,4.5e-05,7.000000000000001e-06,2.6000000000000002e-05,6.500000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_005695.jpg,0.087147,9.1e-05,0.00212,0.989743,0.000413,0.00047300000000000006,0.002411,0.000178,0.0016600000000000002,1.1e-05,0.000321,4.5e-05,0.00013700000000000002,9e-06,0.022650999999999998,0.0024289999999999997,5e-06,2.4e-05,0.000285,0.000325
../data/VOCdevkit/VOC2012\JPEGImages\2010_004208.jpg,0.000746,0.00026000000000000003,0.002107,0.988208,0.006762000000000001,0.000113,0.0008699999999999999,0.000113,0.000749,5.3e-05,0.000458,0.000154,0.0021190000000000002,4.2e-05,0.48882299999999995,0.0031100000000000004,1.2e-05,8e-06,8e-06,0.000103
../data/VOCdevkit/VOC2012\JPEGImages\2008_001041.jpg,0.008412000000000001,0.000314,0.001756,0.9876360000000001,0.00299,0.010595,0.018922,0.00016299999999999998,0.0013189999999999999,4.5e-05,0.000892,7.6e-05,0.000455,0.000332,0.067616,0.002176,5e-05,2.9999999999999997e-05,0.0015400000000000001,4.6e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_005863.jpg,0.001564,0.0016420000000000002,0.004507,0.981183,0.004799,0.00373,0.020518,0.003486,0.001131,2.3e-05,0.000277,0.000453,5.1e-05,9.6e-05,0.035925,0.07151,6.1e-05,2.1e-05,0.008337,0.0001
../data/VOCdevkit/VOC2012\JPEGImages\2008_003187.jpg,0.002951,0.000719,0.001736,0.9780030000000001,0.015094999999999999,0.0006129999999999999,0.005383,0.000113,0.000492,2.8999999999999997e-05,0.00015,7.5e-05,0.0008880000000000001,6.9e-05,0.322225,0.002219,2.5e-05,1.4000000000000001e-05,2.6000000000000002e-05,0.00013000000000000002
../data/VOCdevkit/VOC2012\JPEGImages\2009_004524.jpg,0.12281900000000001,0.00027400000000000005,0.00034700000000000003,0.977382,0.00027,0.006340999999999999,0.028716000000000002,0.00036899999999999997,0.000279,2.5e-05,0.00011999999999999999,0.000125,7.7e-05,1.9e-05,0.047693,0.0033799999999999998,2.4e-05,7.000000000000001e-06,0.004557,0.000183
../data/VOCdevkit/VOC2012\JPEGImages\2009_002778.jpg,0.016501,0.000711,0.001174,0.9765389999999999,0.001068,0.0036609999999999998,0.004185,0.00011899999999999999,0.000279,0.000169,0.000269,0.000323,0.000755,0.000175,0.04838,0.004204,9.7e-05,7.000000000000001e-06,0.01828,1.7e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_003247.jpg,0.067817,0.002206,0.000401,0.975569,0.0031550000000000003,0.008656,0.0068390000000000005,0.0001,0.00014199999999999998,0.00011200000000000001,0.000312,0.000145,0.0009550000000000001,0.00015900000000000002,0.275958,0.002182,0.000343,5e-06,0.00047599999999999997,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_006747.jpg,0.0061200000000000004,0.001995,0.003375,0.9749899999999999,0.005919,0.016276,0.031837,0.000508,0.003966,0.000174,0.0006320000000000001,0.000481,0.0010949999999999998,0.00035299999999999996,0.261387,0.004728,0.00013000000000000002,0.000126,0.000958,0.000293
