image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2010_004551.jpg,4e-06,0.00011499999999999999,0.000105,1e-06,0.9999979999999999,1e-06,1.7e-05,0.000148,0.000941,0.0,0.0012230000000000001,3e-06,0.0,7.5e-05,0.00023999999999999998,0.12291400000000001,0.0,0.0,0.0,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_007811.jpg,2e-05,0.000138,5.7999999999999994e-05,2e-06,0.999964,1e-06,0.00024700000000000004,0.002852,0.001849,3e-06,0.001015,0.000133,7.000000000000001e-06,0.000529,0.000962,0.013553999999999998,8e-06,4e-06,1e-06,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_002649.jpg,1.6e-05,0.00031299999999999996,2.8000000000000003e-05,5e-06,0.9999520000000001,9e-06,0.000808,0.001648,0.002508,5e-06,0.016605,0.00025299999999999997,5e-06,0.0005070000000000001,0.014505,0.021438,7.000000000000001e-06,1.1e-05,1e-06,4.7e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_006104.jpg,0.00011899999999999999,0.000303,0.000469,2.5e-05,0.9998879999999999,1e-06,0.000337,0.00048499999999999997,0.00045099999999999996,3e-06,0.000117,0.000615,3e-06,0.000246,0.0019190000000000001,0.0020469999999999998,7.000000000000001e-06,2e-06,1e-06,7.000000000000001e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_002467.jpg,0.000128,0.00013700000000000002,7.2e-05,8e-06,0.999825,4e-06,0.000306,0.0009539999999999999,0.044183,1e-06,0.008659,6.6e-05,8e-06,0.000129,0.006392,0.007075,6e-06,7.3e-05,4e-06,0.018392
../data/VOCdevkit/VOC2012\JPEGImages\2009_000121.jpg,0.00011399999999999999,0.0009199999999999999,0.000144,1.6e-05,0.9997860000000001,5.9999999999999995e-05,0.0037579999999999996,0.0013779999999999999,0.001083,2.6000000000000002e-05,0.001227,0.001255,1.4000000000000001e-05,0.011545,0.004384000000000001,0.048262,2.1e-05,4.3e-05,5.2000000000000004e-05,6.9e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_001907.jpg,0.000368,0.001056,0.000842,0.000213,0.999239,0.00021600000000000002,0.002646,0.000788,0.003081,2.7000000000000002e-05,0.005345,0.000127,2.3e-05,0.003442,0.003483,0.034874,1.8e-05,3.2e-05,4e-05,0.000182
../data/VOCdevkit/VOC2012\JPEGImages\2009_003517.jpg,0.0,0.00032,9.2e-05,7.000000000000001e-06,0.998984,2e-06,0.000339,0.000848,0.0025109999999999998,3e-06,0.000227,0.002629,1e-06,0.000426,9.9e-05,0.907726,2e-06,2e-06,0.0,1.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_006792.jpg,2.4e-05,0.00059,0.000149,1.6e-05,0.998446,1.1e-05,0.002956,0.001491,0.009536,1.2e-05,0.002169,0.001065,1.4000000000000001e-05,0.001168,0.008440999999999999,0.018243000000000002,2.8000000000000003e-05,3.6e-05,9e-06,0.000128
../data/VOCdevkit/VOC2012\JPEGImages\2008_008700.jpg,0.000113,0.0034630000000000004,0.000196,2.7000000000000002e-05,0.9983270000000001,0.001088,0.011061,0.002518,0.0033130000000000004,7.099999999999999e-05,0.003186,0.0008230000000000001,9.1e-05,0.006514,0.00818,0.313313,1.8e-05,4.2e-05,4.8e-05,6.7e-05
