image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_004613.jpg,2e-06,6.9e-05,7.000000000000001e-06,1e-05,7.2e-05,0.999871,0.00502,1.7e-05,3.5e-05,7.000000000000001e-06,4.6e-05,0.00048600000000000005,3e-06,0.000926,0.404727,0.002124,2.4e-05,1e-06,0.0041600000000000005,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_003566.jpg,0.000134,0.001652,4.7e-05,0.000264,0.0008359999999999999,0.999821,0.08293400000000001,4.3e-05,4.4e-05,0.000124,9.2e-05,5.6000000000000006e-05,9.7e-05,0.001106,0.234947,0.002785,7.3e-05,3e-06,0.0024059999999999997,5e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_001113.jpg,7e-05,0.000528,1.4999999999999999e-05,9.6e-05,0.000446,0.9997719999999999,0.251359,1.9e-05,8.2e-05,6.3e-05,7.8e-05,0.000176,0.000106,0.002891,0.273437,0.004146,8.4e-05,4e-06,0.02084,9e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_002532.jpg,7.8e-05,0.001263,4.9e-05,0.000401,0.000323,0.9997590000000001,0.06498,7.5e-05,6.8e-05,6.4e-05,0.00010400000000000001,0.000226,3.4e-05,0.0013390000000000001,0.454383,0.006576,5.6000000000000006e-05,7.000000000000001e-06,0.0064340000000000005,1.4000000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2011_001747.jpg,3.8e-05,0.000244,1e-05,1.8e-05,0.00011999999999999999,0.999757,0.022187000000000002,1.8e-05,9.8e-05,1.4000000000000001e-05,6.2e-05,0.000194,1.9e-05,0.000834,0.34985900000000003,0.003721,1.7e-05,4e-06,0.204801,3.5e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_001083.jpg,0.00029,0.000791,0.000121,0.00020299999999999997,0.000349,0.9997469999999999,0.036336,0.000133,0.00017900000000000001,0.00011399999999999999,0.00020899999999999998,0.0005480000000000001,8.8e-05,0.001405,0.222531,0.006027,0.000125,1.4999999999999999e-05,0.08819099999999999,7.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_003710.jpg,3.4e-05,0.000679,2.8999999999999997e-05,6.1e-05,0.00032599999999999996,0.9997440000000001,0.045294,4e-05,0.000118,4.2e-05,0.000166,0.000267,4.2e-05,0.00216,0.533008,0.003333,5.6999999999999996e-05,7.000000000000001e-06,0.009531,1.4999999999999999e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_002868.jpg,3.9e-05,0.000398,2.9999999999999997e-05,0.000123,0.00023700000000000001,0.9997030000000001,0.03905,9.1e-05,7.5e-05,0.000168,9.7e-05,0.000469,6.6e-05,0.00061,0.300525,0.00443,9.1e-05,5e-06,0.007925,2.6000000000000002e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_001967.jpg,0.00018999999999999998,0.001397,1.4999999999999999e-05,6.3e-05,0.000291,0.999699,0.24596500000000002,5.2000000000000004e-05,4.8e-05,8e-05,4.9e-05,0.000168,5.5e-05,0.0009570000000000001,0.277262,0.003281,5.9e-05,2e-06,0.0032630000000000003,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_002102.jpg,5.9e-05,0.000462,4.5e-05,0.000129,0.00022,0.999653,0.055983000000000005,4e-05,8.8e-05,0.00011599999999999999,0.000138,0.00042,7e-05,0.0016879999999999998,0.42954499999999995,0.0044329999999999994,7e-05,6e-06,0.003929,1e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_001646.jpg,2.7000000000000002e-05,0.000571,1.4999999999999999e-05,0.000212,0.000205,0.999635,0.16081199999999998,3.2e-05,5.6000000000000006e-05,6.2e-05,5.2000000000000004e-05,0.00032,6.7e-05,0.0035399999999999997,0.31275,0.003701,8e-05,4e-06,0.00535,7.000000000000001e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_004588.jpg,2.5e-05,6.9e-05,6e-06,9e-06,3.2e-05,0.9995350000000001,0.0061920000000000005,2.2e-05,3.4e-05,9e-06,1.4999999999999999e-05,0.00042699999999999997,5e-06,0.000997,0.32797600000000005,0.0014550000000000001,2.1e-05,2e-06,0.2584,1.8e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_001082.jpg,7.7e-05,0.000236,5.3e-05,6.9e-05,0.000169,0.999492,0.043914,0.000155,0.00015,9e-05,0.00010400000000000001,0.000551,4.2e-05,0.000759,0.222083,0.003839,4.8e-05,1.1e-05,0.010619,0.00018999999999999998
../data/VOCdevkit/VOC2012\JPEGImages\2010_001640.jpg,0.00014099999999999998,0.000472,2.4e-05,0.000131,0.000268,0.999481,0.047444,3.5e-05,4.2e-05,6.4e-05,4.8e-05,0.000172,4e-05,0.00043799999999999997,0.293799,0.002094,5.3e-05,3e-06,0.005472,1.4000000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_008120.jpg,0.000147,0.000298,4.2e-05,0.00038500000000000003,0.000363,0.999466,0.025346,0.000113,0.00013000000000000002,6.500000000000001e-05,0.000244,0.000547,3.6e-05,0.0006320000000000001,0.40821599999999997,0.006288,0.000164,1.4999999999999999e-05,0.0021219999999999998,4.8e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_001326.jpg,4e-05,0.000512,4.7e-05,0.000176,0.000796,0.9994569999999999,0.12001099999999999,0.000121,0.000169,0.000133,0.000147,0.0007480000000000001,0.00013000000000000002,0.0016010000000000002,0.305588,0.003788,0.000144,1.6e-05,0.0038229999999999996,5.3e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_001148.jpg,0.000229,0.000267,1.1e-05,4.9e-05,0.00020899999999999998,0.9994540000000001,0.054353,4.6e-05,3.1e-05,2.7000000000000002e-05,2e-05,0.000223,2e-05,0.000236,0.185578,0.001615,4.8e-05,2e-06,0.008846,4.7e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_003703.jpg,3.8e-05,0.000278,1.4000000000000001e-05,0.000609,0.000184,0.999442,0.034171,2.3e-05,2.4e-05,4e-05,2.8999999999999997e-05,0.000218,2.2e-05,0.000288,0.261964,0.001977,7.3e-05,2e-06,0.010801999999999999,3e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_003491.jpg,0.000133,0.001871,4.8e-05,0.00032900000000000003,0.000541,0.9994280000000001,0.200041,4.3e-05,0.000136,0.00014099999999999998,0.000147,0.00018999999999999998,0.00038700000000000003,0.002745,0.296458,0.0034130000000000002,0.00013700000000000002,1e-05,0.069687,1.4000000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_005060.jpg,8.499999999999999e-05,0.001163,9.4e-05,0.000148,0.000515,0.999318,0.036942,9.8e-05,0.000101,7.7e-05,0.000124,0.00022799999999999999,0.000165,0.001248,0.372242,0.0046240000000000005,0.000127,8e-06,0.019405000000000002,0.000215
../data/VOCdevkit/VOC2012\JPEGImages\2009_001854.jpg,0.000229,0.00041600000000000003,4.1e-05,0.000135,0.000366,0.9992629999999999,0.030781,6.8e-05,7.2e-05,6.6e-05,8.9e-05,0.000296,6.3e-05,0.0021260000000000003,0.331216,0.003324,0.00011200000000000001,6e-06,0.02429,2.3e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_004867.jpg,7.5e-05,0.000364,2.2e-05,3.8e-05,0.000231,0.999231,0.083375,4.2e-05,0.00018,6.3e-05,0.0001,0.000516,6.4e-05,0.001119,0.27342,0.004217,3.5e-05,7.000000000000001e-06,0.422382,3.3e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_000524.jpg,0.000221,0.002989,5.6000000000000006e-05,0.00027,0.0008609999999999999,0.99923,0.324446,0.00011399999999999999,0.000157,0.00028,0.000157,0.000496,0.00035299999999999996,0.003664,0.370167,0.004388,0.000127,1.4000000000000001e-05,0.010508,8.499999999999999e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_002436.jpg,0.0001,0.00031,1.8e-05,9.4e-05,0.000125,0.999208,0.156346,5.7999999999999994e-05,7.4e-05,0.00010800000000000001,6.6e-05,0.00049,9.1e-05,0.0017809999999999998,0.26298299999999997,0.002173,0.000109,6e-06,0.011781,1.9e-05
../data/VOCdevkit/VOC2012\JPEGImages\2011_000090.jpg,3.3e-05,0.0017329999999999997,7.6e-05,0.00011599999999999999,0.000331,0.9991620000000001,0.02855,7.2e-05,0.00025299999999999997,5.3e-05,0.000169,0.00040899999999999997,4.6e-05,0.00158,0.414488,0.0078060000000000004,4.2e-05,1e-05,0.014117,4.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_000060.jpg,0.000153,0.000712,0.00011499999999999999,0.000215,0.000261,0.999091,0.072787,0.000153,0.000333,8.9e-05,0.00025,0.001039,8.6e-05,0.001392,0.36299899999999996,0.009000000000000001,0.000124,3.2e-05,0.042037,0.00031600000000000004
../data/VOCdevkit/VOC2012\JPEGImages\2010_005636.jpg,0.000383,0.0010960000000000002,4.1e-05,0.000176,0.000256,0.999079,0.16664,0.00022799999999999999,0.00028700000000000004,0.000164,0.000175,0.000572,0.000123,0.002368,0.311707,0.00392,0.00015,1.7e-05,0.015361000000000001,0.00011599999999999999
../data/VOCdevkit/VOC2012\JPEGImages\2011_000888.jpg,0.00022400000000000002,0.000782,0.000152,0.000544,0.000625,0.999043,0.10201,0.000242,0.000376,0.00018899999999999999,0.000367,0.001104,0.000118,0.001483,0.32889,0.006243,0.00015800000000000002,5.1e-05,0.005985,0.000174
../data/VOCdevkit/VOC2012\JPEGImages\2010_000573.jpg,5.7999999999999994e-05,0.000606,2.1e-05,7.7e-05,0.00025499999999999996,0.999041,0.081337,9e-05,0.00010700000000000001,8.3e-05,0.000139,0.000826,6.4e-05,0.003246,0.42507,0.003779,9e-05,7.000000000000001e-06,0.003489,1e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_002546.jpg,0.000131,0.000305,3.1e-05,0.000301,0.00018700000000000002,0.999031,0.040261,1.6e-05,2.8999999999999997e-05,5.6000000000000006e-05,3.8e-05,0.000207,5.9e-05,0.001241,0.17871099999999998,0.0018850000000000002,0.0001,1e-06,0.022156,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_000426.jpg,7.6e-05,0.000379,3.5e-05,0.000333,0.00028399999999999996,0.999006,0.030179,4.4e-05,7.900000000000001e-05,5.2000000000000004e-05,6.8e-05,0.000379,4.2e-05,0.00044699999999999997,0.182568,0.001846,9.499999999999999e-05,4e-06,0.036909,8e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_000603.jpg,0.00062,0.001609,7.900000000000001e-05,0.0012369999999999998,0.000999,0.9988549999999999,0.191225,9.9e-05,0.000174,0.000236,0.000155,0.000306,0.000281,0.0014320000000000001,0.232454,0.003032,0.00032,1.6e-05,0.017755,6.8e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_004567.jpg,0.000379,0.001483,3.5e-05,0.000172,0.0005139999999999999,0.998817,0.121947,3.4e-05,3.5e-05,0.000176,5.6999999999999996e-05,0.00018899999999999999,0.00013000000000000002,0.004685,0.194434,0.002001,8.6e-05,4e-06,0.017629,1.4999999999999999e-05
../data/VOCdevkit/VOC2012\JPEGImages\2011_001105.jpg,0.00011,0.000388,0.00011200000000000001,0.000127,0.000367,0.99877,0.026957,0.000251,0.00031,0.000128,0.000325,0.001042,0.000132,0.001284,0.32714699999999997,0.008147,0.000192,2e-05,0.022396,7.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_000947.jpg,5.9e-05,0.000454,5.5e-05,0.000225,0.00034700000000000003,0.998713,0.056585,5.7999999999999994e-05,0.000125,0.000113,9.9e-05,0.000377,0.000105,0.001389,0.271487,0.0021780000000000002,8.1e-05,1.3000000000000001e-05,0.035539999999999995,4.7e-05
../data/VOCdevkit/VOC2012\JPEGImages\2011_000541.jpg,0.00025699999999999996,0.000436,1.4999999999999999e-05,0.000117,9.300000000000001e-05,0.998677,0.216754,3.4e-05,3.2e-05,0.000157,2.8000000000000003e-05,0.000541,0.000165,0.001632,0.196681,0.001031,8.499999999999999e-05,2e-06,0.030545999999999997,1.3000000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_003562.jpg,7e-05,0.000822,5.6000000000000006e-05,0.00018600000000000002,0.000489,0.99861,0.09776499999999999,0.000183,0.000324,8.8e-05,0.000273,0.0010429999999999999,7.4e-05,0.001497,0.350583,0.014212,0.000196,2e-05,0.013486000000000001,5.4000000000000005e-05
