image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2011_001982.jpg,5e-06,0.000131,3e-06,0.000161,6.6e-05,5e-06,0.999928,0.000373,0.000425,5e-05,4.2e-05,0.005959000000000001,3.6e-05,2.2e-05,0.058216,0.004098,5e-06,5e-06,1e-06,1.3000000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_000246.jpg,2.6000000000000002e-05,0.000414,7.000000000000001e-06,0.001042,8.3e-05,9.1e-05,0.999812,0.00021600000000000002,0.000276,0.000246,1.7e-05,0.021196,0.000117,0.000183,0.093064,0.0032229999999999997,3.8e-05,9e-06,2.4e-05,9e-06
../data/VOCdevkit/VOC2012\JPEGImages\2011_001261.jpg,7.000000000000001e-06,0.000328,1.6e-05,0.0005610000000000001,0.000675,2.2e-05,0.999767,0.000651,0.000571,0.000136,0.000118,0.019278999999999998,4.4e-05,0.00047300000000000006,0.045574,0.007176,2.8000000000000003e-05,2.2e-05,2e-06,1.7e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_001117.jpg,8.4e-05,0.001163,1.7e-05,0.002591,0.000167,0.0009400000000000001,0.999708,0.000303,3.7e-05,0.000175,3.5e-05,0.001539,0.000105,8.8e-05,0.11511099999999999,0.002381,4.9e-05,2e-06,1e-05,3e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_000372.jpg,7.900000000000001e-05,0.00054,6e-06,0.00044699999999999997,0.000154,8.499999999999999e-05,0.999677,0.00035499999999999996,9e-05,0.000304,2.9999999999999997e-05,0.005444,0.000133,0.000183,0.04677,0.0074730000000000005,2.6000000000000002e-05,5e-06,8e-06,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_006694.jpg,2.8000000000000003e-05,0.000583,8e-06,0.000877,0.000135,0.000754,0.9996209999999999,0.000259,0.00013000000000000002,0.000376,6.3e-05,0.002508,0.00011499999999999999,0.000592,0.12125999999999999,0.0038399999999999997,2.5e-05,4e-06,0.00010800000000000001,1.3000000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_003537.jpg,0.000126,0.001991,5e-05,0.0029760000000000003,0.001675,0.000595,0.9993549999999999,0.000897,0.001814,0.000263,0.000266,0.024623,0.000307,0.001599,0.21079099999999998,0.014268000000000001,0.00011200000000000001,0.000128,7.099999999999999e-05,0.000132
../data/VOCdevkit/VOC2012\JPEGImages\2009_004471.jpg,0.000331,0.00016299999999999998,2.2e-05,0.002078,7.4e-05,4.2e-05,0.9993340000000001,0.000138,0.000183,0.00011100000000000001,5.5e-05,0.005343,5.9999999999999995e-05,6.500000000000001e-05,0.035357,0.006383,8e-06,6e-06,3e-06,8e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_003846.jpg,7.4e-05,0.00036,7.000000000000001e-06,0.000624,0.00017900000000000001,0.00011,0.9990629999999999,0.000288,0.00019099999999999998,0.000261,1.9e-05,0.009734999999999999,0.000279,7.6e-05,0.134168,0.003467,3.6e-05,8e-06,1.4999999999999999e-05,1.8e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_004390.jpg,0.000667,0.00021600000000000002,1.4000000000000001e-05,0.003675,0.000154,0.00016999999999999999,0.99866,0.000429,7.099999999999999e-05,0.000332,4.2e-05,0.0030210000000000002,6.6e-05,0.000123,0.036331999999999996,0.007595,2.4e-05,4e-06,2.6000000000000002e-05,7.000000000000001e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_003813.jpg,8.499999999999999e-05,0.001462,1.6e-05,0.0015119999999999999,0.000361,0.000103,0.9985940000000001,0.000301,0.0006349999999999999,0.000801,0.000146,0.008992,0.000521,0.001221,0.21916300000000002,0.015125999999999999,8.499999999999999e-05,1.4000000000000001e-05,7.2e-05,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_003664.jpg,0.0054789999999999995,0.001527,4.1e-05,0.000106,0.001247,0.000199,0.998483,0.000459,0.00014099999999999998,0.000139,0.000123,0.0046229999999999995,0.000254,0.004203,0.062448000000000004,0.0049299999999999995,3.9e-05,1.6e-05,5.1e-05,1.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_003031.jpg,0.00011200000000000001,0.000925,9e-05,0.007086,0.000543,0.0024100000000000002,0.997901,0.000421,0.000233,0.000782,0.000124,0.005686999999999999,0.000315,0.000412,0.115087,0.005877,0.000171,1.1e-05,3.9e-05,1.4000000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_001080.jpg,0.00018600000000000002,0.001259,2.6000000000000002e-05,0.002483,0.0006349999999999999,0.0005200000000000001,0.997726,0.000749,0.001068,0.000251,0.000193,0.007581999999999999,0.0002,0.000109,0.18094100000000002,0.012842,7.4e-05,3.4e-05,8.499999999999999e-05,8.1e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_003453.jpg,0.0008269999999999999,0.000779,7.000000000000001e-06,2.9999999999999997e-05,0.000153,0.002311,0.9977219999999999,0.000132,6.6e-05,0.000164,8e-06,0.001655,0.000152,0.00019099999999999998,0.039846,0.0042439999999999995,1.3000000000000001e-05,2e-06,0.002479,8e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_002875.jpg,4.7e-05,0.001037,9e-06,0.000469,0.001085,0.000685,0.997693,0.000332,0.0001,0.000202,5.4000000000000005e-05,0.002275,0.000223,0.000491,0.15036,0.004863,4e-05,3e-06,1.4000000000000001e-05,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_005686.jpg,6.1e-05,0.00063,4.2e-05,0.004064,0.000654,0.000265,0.997609,0.000252,9.300000000000001e-05,0.000166,6.500000000000001e-05,0.001959,0.00021600000000000002,0.000388,0.10379000000000001,0.0071730000000000006,3.6e-05,5e-06,9e-06,6e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_000036.jpg,0.000144,0.003266,2.1e-05,0.002879,0.000992,0.004739,0.9972709999999999,0.000264,0.000123,0.000588,0.000145,0.00099,0.000781,0.00157,0.12407,0.010505,0.000147,5e-06,0.000291,3e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_004748.jpg,0.000242,0.000656,2.8999999999999997e-05,0.000393,0.0008470000000000001,0.000173,0.9970610000000001,0.000642,0.001206,0.000164,0.000169,0.017925,0.00021400000000000002,0.000298,0.050449,0.022484999999999998,1.4999999999999999e-05,4.9e-05,0.00021899999999999998,0.000178
../data/VOCdevkit/VOC2012\JPEGImages\2011_000900.jpg,0.000366,0.001394,1.1e-05,0.000662,0.000233,0.006072,0.997058,0.000508,8.9e-05,0.00014,4.3e-05,0.004378,0.00011200000000000001,0.000304,0.083485,0.0031320000000000002,0.000106,4e-06,0.001474,2.5e-05
