image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_000839.jpg,0.0,0.0,0.000567,0.0,0.00021600000000000002,0.0,0.0,1.0,0.001031,0.0,0.0,0.0008,0.0,0.0,1.2e-05,1.2e-05,2.7000000000000002e-05,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2009_003143.jpg,0.0,0.0,1e-06,0.0,1.9e-05,0.0,0.0,1.0,4.7e-05,0.0,0.0,8.8e-05,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_005061.jpg,0.0,0.0,3e-06,0.0,0.0036229999999999995,0.0,0.0,1.0,0.006152,0.0,1e-06,2e-06,0.0,0.0,6.8e-05,6.7e-05,0.000148,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2009_004448.jpg,0.0,0.0,6e-06,0.0,0.000262,0.0,0.0,1.0,0.000889,0.0,0.0,0.00018899999999999999,0.0,0.0,0.000125,1e-06,0.0,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_001021.jpg,0.0,0.0,2.8999999999999997e-05,0.0,0.000184,0.0,0.0,1.0,0.000405,0.0,0.0,3e-06,0.0,0.0,0.00031800000000000003,7.2e-05,5e-06,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_002086.jpg,0.0,0.0,1e-06,0.0,6.1e-05,0.0,0.0,1.0,0.005929,0.0,0.0,0.000266,0.0,0.0,2.8000000000000003e-05,0.0,5e-06,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2009_005033.jpg,0.0,0.0,3.6e-05,0.0,1e-06,0.0,0.0,1.0,0.000138,0.0,0.0,0.000557,0.0,0.0,1.6e-05,0.0,0.0,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_002004.jpg,0.0,0.0,7.000000000000001e-06,0.0,5.4000000000000005e-05,0.0,0.0,1.0,0.007359,0.0,0.0,0.003907,0.0,0.0,0.0075450000000000005,2e-06,7.000000000000001e-06,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_004634.jpg,0.0,0.0,1.1e-05,0.0,1.7e-05,0.0,0.0,1.0,0.003776,0.0,0.0,0.006123,0.0,0.0,3e-06,1e-06,0.0,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_001544.jpg,0.0,0.0,2e-06,0.0,0.0005269999999999999,0.0,0.0,0.999999,0.018752,0.0,0.0,0.00031099999999999997,0.0,0.0,0.0008699999999999999,8.6e-05,3e-06,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_005977.jpg,0.0,0.0,4.3e-05,0.0,0.001719,0.0,2e-06,0.999999,0.022358000000000003,1e-06,2.1e-05,0.0009050000000000001,0.0,0.0,0.00038700000000000003,0.000446,6e-06,0.0,0.0,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_001468.jpg,0.0,0.0,3.1e-05,0.0,0.000643,0.0,0.0,0.999999,0.003072,0.0,1e-06,0.008223000000000001,0.0,0.0,1e-05,0.000124,1.2e-05,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2011_001292.jpg,0.0,0.0,8.1e-05,0.0,0.0008640000000000001,0.0,1e-06,0.999999,0.016138999999999997,0.0,5e-06,5.5e-05,0.0,0.0,0.000252,0.001836,4e-06,0.0,0.0,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_004051.jpg,0.0,0.0,0.002696,0.0,0.000433,0.0,0.0,0.999999,0.009753,0.0,3e-06,0.0017510000000000002,0.0,0.0,0.000143,6.1e-05,1e-05,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_005185.jpg,0.0,0.0,6.9e-05,0.0,7.000000000000001e-06,0.0,0.0,0.999999,6.4e-05,0.0,0.0,0.00572,0.0,0.0,0.000571,0.0,1e-06,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_003088.jpg,0.0,0.0,0.001939,0.0,0.000171,0.0,0.0,0.999999,0.00010400000000000001,0.0,0.0,0.000103,0.0,0.0,2.6000000000000002e-05,5e-06,5e-06,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_006285.jpg,0.0,0.0,5e-06,0.0,0.000746,0.0,1e-06,0.999999,0.024437999999999998,1e-06,3e-06,0.011059000000000001,0.0,0.0,0.01255,2.2e-05,1.2e-05,0.0,0.0,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_003499.jpg,0.0,0.0,1e-06,0.0,0.001317,0.0,0.0,0.999999,0.01654,0.0,1e-06,2.5e-05,0.0,0.0,0.006878,7.099999999999999e-05,1e-06,0.0,0.0,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_005021.jpg,0.0,0.0,3.1e-05,0.0,0.000567,0.0,2e-06,0.9999979999999999,0.061302999999999996,0.0,2.2e-05,1.7e-05,0.0,0.0,0.001145,0.002365,2e-06,0.0,0.0,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_005647.jpg,0.0,0.0,0.000686,0.0,0.00015900000000000002,0.0,1e-06,0.9999979999999999,0.000721,0.0,0.0,0.000132,0.0,0.0,0.00047599999999999997,1e-06,1e-06,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_001637.jpg,0.0,0.0,0.00116,0.0,0.000109,0.0,0.0,0.9999969999999999,0.00206,0.0,0.0,0.000164,0.0,0.0,6.2e-05,0.000153,0.0,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_000581.jpg,0.0,0.0,4.9e-05,0.0,0.000982,0.0,0.0,0.9999969999999999,0.0018390000000000001,0.0,0.0,0.0015199999999999999,0.0,0.0,9e-05,1.6e-05,0.0,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_001783.jpg,0.0,0.0,0.000113,0.0,6.9e-05,0.0,0.0,0.9999969999999999,0.005072999999999999,0.0,1e-06,0.006288,0.0,0.0,0.014107,5e-06,0.0,0.0,0.0,1e-06
