image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_000043.jpg,6.3e-05,0.002886,0.000641,0.00011200000000000001,0.039674,0.000755,0.00591,0.00035,0.999444,2.7000000000000002e-05,0.9198709999999999,0.000176,0.002144,0.000166,0.012709999999999999,0.064595,1.4000000000000001e-05,0.006556,0.0016640000000000001,0.007065999999999999
../data/VOCdevkit/VOC2012\JPEGImages\2009_002487.jpg,0.000542,0.001529,0.001945,0.000105,0.025486,3.7e-05,0.000944,0.002949,0.9994350000000001,1.8e-05,0.817842,0.00028900000000000003,0.000218,0.000171,0.0010279999999999998,0.499188,5e-06,0.004511,2e-05,0.009912
../data/VOCdevkit/VOC2012\JPEGImages\2011_002241.jpg,0.001444,0.0008119999999999999,0.001661,0.000286,0.01075,0.00044800000000000005,0.004018,0.001193,0.9993920000000001,8.8e-05,0.842483,0.000392,0.001183,0.000101,0.006648,0.055282000000000005,9e-06,0.0061070000000000004,8e-05,0.006005
../data/VOCdevkit/VOC2012\JPEGImages\2011_000919.jpg,0.00011200000000000001,0.001486,0.001603,0.000342,0.044008,6.4e-05,0.0005610000000000001,0.006242,0.998446,0.000103,0.968299,0.002029,8.499999999999999e-05,9.6e-05,0.003899,0.8812459999999999,9e-06,0.070909,3.5e-05,0.051774
../data/VOCdevkit/VOC2012\JPEGImages\2009_003973.jpg,0.000376,0.000918,0.001109,0.002607,0.028807,0.000194,0.00061,0.0045969999999999995,0.9984069999999999,5.6999999999999996e-05,0.927976,0.000807,0.001166,9.8e-05,0.012359,0.233303,1.4999999999999999e-05,0.02247,8.7e-05,0.12754300000000002
../data/VOCdevkit/VOC2012\JPEGImages\2010_001851.jpg,0.000368,0.005079,0.000491,0.000504,0.019175,0.0008089999999999999,0.002718,0.000466,0.9984040000000001,0.000121,0.8572719999999999,0.002175,0.000288,0.000145,0.009281000000000001,0.892407,7.000000000000001e-06,0.112356,0.000177,0.02795
../data/VOCdevkit/VOC2012\JPEGImages\2008_006151.jpg,0.000984,0.000356,0.002531,0.001274,0.018072,0.0010869999999999999,0.0029739999999999996,0.001092,0.996928,0.000126,0.7172850000000001,0.001218,0.004286,0.00018600000000000002,0.060226999999999996,0.020735,4.7e-05,0.002719,0.00011399999999999999,0.004717
../data/VOCdevkit/VOC2012\JPEGImages\2011_002531.jpg,0.002664,0.0018390000000000001,0.001072,0.002451,0.018337,0.00336,0.006113,0.000229,0.996668,5e-05,0.906795,0.00036899999999999997,0.002873,0.000154,0.012529,0.025275,2.2e-05,0.0018859999999999999,0.00066,0.028109
../data/VOCdevkit/VOC2012\JPEGImages\2008_008365.jpg,0.000524,0.005233,0.0016920000000000001,0.003833,0.038012,0.000299,0.001482,0.001575,0.9961909999999999,9.300000000000001e-05,0.885916,0.000947,0.000523,0.000192,0.011509,0.731045,2e-05,0.093347,0.000173,0.085672
../data/VOCdevkit/VOC2012\JPEGImages\2010_003531.jpg,7e-05,0.001975,0.0054329999999999995,0.000333,0.025911,0.000118,0.000858,0.008567,0.996181,0.000218,0.783205,0.006273,0.000217,7.8e-05,0.017033,0.866548,3.3e-05,0.0674,4.5e-05,0.04216
../data/VOCdevkit/VOC2012\JPEGImages\2011_002805.jpg,8.7e-05,0.002209,0.0008210000000000001,9.2e-05,0.022438999999999997,6.6e-05,0.000617,0.002064,0.995612,5.9e-05,0.599317,0.000379,0.000547,7.099999999999999e-05,0.018486000000000002,0.171517,1.9e-05,0.094709,0.000312,0.037409
../data/VOCdevkit/VOC2012\JPEGImages\2009_003440.jpg,3.6e-05,0.000906,0.0012720000000000001,0.000188,0.033889999999999997,8.9e-05,0.0008089999999999999,0.001105,0.995607,3.8e-05,0.793084,0.0015810000000000002,5.1e-05,1.2e-05,0.004965,0.9125690000000001,5e-06,0.044654,3.1e-05,0.014772
../data/VOCdevkit/VOC2012\JPEGImages\2009_001775.jpg,0.000134,0.0014730000000000001,0.002499,0.000598,0.02245,0.000357,0.002418,0.024997,0.995333,0.00011499999999999999,0.72145,0.006412,0.000273,9.2e-05,0.00614,0.8464969999999999,2.4e-05,0.023884,0.000106,0.023088
../data/VOCdevkit/VOC2012\JPEGImages\2008_007287.jpg,0.056505999999999994,0.001355,0.001295,0.0008439999999999999,0.005217,0.000156,0.009567,0.0009140000000000001,0.9952799999999999,0.000105,0.30144299999999996,0.001604,0.0004980000000000001,0.000335,0.010576,0.111098,5.2000000000000004e-05,0.28781,0.001216,0.026623
../data/VOCdevkit/VOC2012\JPEGImages\2010_001574.jpg,0.00031299999999999996,0.0006230000000000001,0.001126,0.00031299999999999996,0.014747,8.9e-05,0.001123,0.00296,0.995173,0.000126,0.647432,0.001157,0.000181,2.6000000000000002e-05,0.00932,0.11934000000000002,1.8e-05,0.161357,0.000118,0.098201
../data/VOCdevkit/VOC2012\JPEGImages\2011_000098.jpg,0.0015789999999999999,0.002784,0.0023420000000000003,0.002934,0.026097000000000002,0.0012720000000000001,0.011686,0.003665,0.9948600000000001,0.00022,0.749562,0.002232,0.002186,0.001315,0.017847,0.156052,8.6e-05,0.035306,0.0008730000000000001,0.016325
../data/VOCdevkit/VOC2012\JPEGImages\2011_003011.jpg,0.000153,0.0008820000000000001,0.008897,2.5e-05,0.01296,4e-06,0.000125,0.011106,0.994132,4.9e-05,0.22794499999999998,0.0010199999999999999,3.9e-05,7.7e-05,0.002215,0.038105,4e-06,0.00345,1e-06,0.002472
../data/VOCdevkit/VOC2012\JPEGImages\2011_001834.jpg,0.000874,0.0061649999999999995,0.043722000000000004,0.001134,0.07270800000000001,0.000733,0.01158,0.000722,0.99393,0.000323,0.160667,0.004776,0.001283,0.0021030000000000003,0.00587,0.045326,5.6999999999999996e-05,0.0018859999999999999,0.000618,0.0037189999999999996
../data/VOCdevkit/VOC2012\JPEGImages\2010_004813.jpg,0.000397,0.00123,0.016397,0.000771,0.031522,1.8e-05,0.001437,0.070063,0.99392,0.000205,0.11278800000000001,0.0027,0.00062,0.000178,0.00435,0.07314,3.6e-05,0.002945,0.00016999999999999999,0.006814
../data/VOCdevkit/VOC2012\JPEGImages\2008_002521.jpg,0.0017649999999999999,0.001323,0.002333,0.001037,0.039967,0.000143,0.0009480000000000001,0.005103,0.9936709999999999,0.000266,0.717481,0.001766,0.000512,0.000134,0.01022,0.231645,2.8000000000000003e-05,0.045629,0.000138,0.283992
../data/VOCdevkit/VOC2012\JPEGImages\2010_000821.jpg,2.7000000000000002e-05,0.000417,0.0012109999999999998,1.3000000000000001e-05,0.010796,3e-06,4.4e-05,0.005765,0.9923270000000001,4.1e-05,0.04922,0.000968,2.7000000000000002e-05,1.4000000000000001e-05,0.007148999999999999,0.125975,1.4000000000000001e-05,0.30095500000000003,7.000000000000001e-06,0.23298200000000002
../data/VOCdevkit/VOC2012\JPEGImages\2009_005171.jpg,0.001884,0.0014869999999999998,0.00084,0.001492,0.046647,0.0018449999999999999,0.004043,0.000918,0.9917379999999999,0.000139,0.799478,0.00047300000000000006,0.0034909999999999997,0.00018600000000000002,0.024896,0.07711799999999999,2.8999999999999997e-05,0.013345,0.0038759999999999997,0.034858999999999994
