image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2011_000309.jpg,0.000305,0.000279,0.000185,8e-06,0.000126,3.4e-05,0.001424,5e-06,0.000819,0.9966290000000001,4.2e-05,0.0005009999999999999,0.160576,0.000801,0.032563,0.00455,0.003283,2.7000000000000002e-05,0.00067,3.3e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_001673.jpg,0.001099,0.0012380000000000002,0.000133,7.000000000000001e-06,0.00020800000000000001,8.499999999999999e-05,0.005559000000000001,6e-06,6.3e-05,0.980513,1.8e-05,0.00025699999999999996,0.419025,0.008721,0.081301,0.003996,0.002494,3e-06,0.100749,1e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_003970.jpg,0.000217,0.00024300000000000002,0.002457,3e-06,0.000342,3e-06,0.0013599999999999999,0.000982,0.00132,0.9711280000000001,0.000147,0.492933,0.032033,0.000746,0.007572,0.007476999999999999,0.001265,0.000164,0.00018700000000000002,0.00025499999999999996
../data/VOCdevkit/VOC2012\JPEGImages\2008_008437.jpg,0.001033,0.000549,0.007594,1.8e-05,0.0016690000000000001,1.6e-05,0.0014990000000000001,0.00036899999999999997,0.000653,0.94978,0.000193,0.004963,0.150539,0.000874,0.020718,0.004107,0.029287999999999998,1.9e-05,0.000175,1.4000000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_004284.jpg,0.0005269999999999999,0.000215,0.000843,3.4e-05,0.001176,8e-06,0.002001,0.0014140000000000001,0.000993,0.9457049999999999,0.000139,0.15709800000000002,0.004764,0.002016,0.013097999999999999,0.002293,0.020662,7.8e-05,0.001576,8.7e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_006528.jpg,0.00014,0.00036899999999999997,0.004528,3.2e-05,0.000446,7.000000000000001e-06,0.0044469999999999996,9e-06,0.000776,0.9396709999999999,0.00014199999999999998,0.003053,0.864757,0.00032900000000000003,0.109517,0.006104999999999999,0.0008289999999999999,8e-06,0.00025299999999999997,5.5e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_000907.jpg,3.2e-05,0.00024900000000000004,0.004483,3.2e-05,0.003085,2e-06,0.000334,0.007587000000000001,0.00742,0.936034,0.000175,0.643209,0.042266000000000005,0.000582,0.017138,0.003594,0.044271,7.6e-05,0.000126,0.000171
../data/VOCdevkit/VOC2012\JPEGImages\2010_001548.jpg,0.000737,0.001283,0.002385,5.3e-05,0.000859,0.000291,0.008981,0.000373,0.003203,0.934406,0.000465,0.018497,0.00172,0.001147,0.021342,0.0038130000000000004,0.032451,0.000157,0.002518,0.000121
../data/VOCdevkit/VOC2012\JPEGImages\2008_008115.jpg,0.001074,0.00041799999999999997,0.006343,8e-06,0.000843,1e-05,0.001431,0.002623,0.001266,0.9337129999999999,0.000546,0.276656,0.069849,0.000401,0.018585,0.004862,0.006978,7.4e-05,4.7e-05,0.00011100000000000001
../data/VOCdevkit/VOC2012\JPEGImages\2010_000427.jpg,8.3e-05,0.0013310000000000002,0.011663,4.1e-05,0.001114,6.500000000000001e-05,0.0038659999999999996,0.0006190000000000001,0.002091,0.9259040000000001,0.00040300000000000004,0.057998,0.00678,0.00046699999999999997,0.00483,0.022278,0.002434,0.000139,0.000278,0.000117
