image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2009_002471.jpg,0.00013000000000000002,0.0008730000000000001,0.001721,0.000339,0.464987,2.9999999999999997e-05,0.00031099999999999997,0.024546000000000002,0.913492,0.000161,0.98261,0.001573,0.000131,0.000256,0.953376,0.33708699999999997,0.000321,0.012835,2.8000000000000003e-05,0.051455999999999995
../data/VOCdevkit/VOC2012\JPEGImages\2011_002200.jpg,0.000128,0.000935,0.0006730000000000001,0.00024900000000000004,0.588623,0.000121,0.00124,0.008482,0.6319319999999999,0.00057,0.9814200000000001,0.00198,0.00011399999999999999,0.0005679999999999999,0.964418,0.187504,0.00023799999999999998,0.017626,8.7e-05,0.027279
../data/VOCdevkit/VOC2012\JPEGImages\2011_000919.jpg,0.00011200000000000001,0.001486,0.001603,0.000342,0.044008,6.4e-05,0.0005610000000000001,0.006242,0.998446,0.000103,0.968299,0.002029,8.499999999999999e-05,9.6e-05,0.003899,0.8812459999999999,9e-06,0.070909,3.5e-05,0.051774
../data/VOCdevkit/VOC2012\JPEGImages\2008_001077.jpg,0.0037689999999999998,0.002778,0.003009,0.002358,0.28159,0.001425,0.009928,0.013844,0.8699389999999999,0.001384,0.952074,0.0022429999999999998,0.000749,0.002955,0.054407000000000004,0.259774,0.00021899999999999998,0.023530000000000002,0.000484,0.081242
../data/VOCdevkit/VOC2012\JPEGImages\2009_003973.jpg,0.000376,0.000918,0.001109,0.002607,0.028807,0.000194,0.00061,0.0045969999999999995,0.9984069999999999,5.6999999999999996e-05,0.927976,0.000807,0.001166,9.8e-05,0.012359,0.233303,1.4999999999999999e-05,0.02247,8.7e-05,0.12754300000000002
../data/VOCdevkit/VOC2012\JPEGImages\2008_002330.jpg,0.00011899999999999999,0.000434,0.000788,0.000784,0.6165390000000001,0.00020899999999999998,0.000918,0.014896000000000001,0.264611,8.4e-05,0.926024,0.001633,2.3e-05,0.000226,0.007378,0.9725440000000001,7.000000000000001e-06,0.001083,4e-06,0.0011099999999999999
../data/VOCdevkit/VOC2012\JPEGImages\2008_000043.jpg,6.3e-05,0.002886,0.000641,0.00011200000000000001,0.039674,0.000755,0.00591,0.00035,0.999444,2.7000000000000002e-05,0.9198709999999999,0.000176,0.002144,0.000166,0.012709999999999999,0.064595,1.4000000000000001e-05,0.006556,0.0016640000000000001,0.007065999999999999
../data/VOCdevkit/VOC2012\JPEGImages\2008_007617.jpg,1.8e-05,0.001696,0.00057,0.000182,0.322832,4.4e-05,0.00041500000000000006,0.0029690000000000003,0.661062,5.4000000000000005e-05,0.918925,0.0033090000000000003,5.3e-05,0.000155,0.964144,0.942629,4.3e-05,0.024549,8e-06,0.012078
../data/VOCdevkit/VOC2012\JPEGImages\2011_002531.jpg,0.002664,0.0018390000000000001,0.001072,0.002451,0.018337,0.00336,0.006113,0.000229,0.996668,5e-05,0.906795,0.00036899999999999997,0.002873,0.000154,0.012529,0.025275,2.2e-05,0.0018859999999999999,0.00066,0.028109
../data/VOCdevkit/VOC2012\JPEGImages\2011_001842.jpg,0.000271,0.005152,0.000258,0.001046,0.437565,0.00042300000000000004,0.004736,0.0006580000000000001,0.591394,0.00021099999999999998,0.9045549999999999,0.0017670000000000001,0.0009660000000000001,0.000666,0.995383,0.247187,0.00025,0.032865,0.000319,0.069324
../data/VOCdevkit/VOC2012\JPEGImages\2008_005348.jpg,0.004379999999999999,0.002398,0.009384,0.0025670000000000003,0.604927,0.000516,0.004192,0.024903,0.48487700000000006,0.001376,0.902702,0.004294,0.00072,0.005987,0.020344,0.295108,0.000206,0.00648,0.00022799999999999999,0.007198
../data/VOCdevkit/VOC2012\JPEGImages\2010_004778.jpg,0.000245,0.002736,0.00176,0.002536,0.45410200000000006,0.00043099999999999996,0.0037689999999999998,0.004573,0.685702,0.000128,0.889009,0.0023309999999999997,0.000552,0.000801,0.9929209999999999,0.08165599999999999,0.000462,0.019363,0.00031600000000000004,0.040316000000000005
