image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_006614.jpg,0.0,0.0,1e-05,0.0,0.000413,0.0,0.000171,0.008942,0.026719,0.00042699999999999997,4e-06,1.0,7.000000000000001e-06,0.0,0.001727,0.000271,5.1e-05,8e-06,0.0,4e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_002865.jpg,0.0,0.0,8.2e-05,0.0,2.5e-05,0.0,2.6000000000000002e-05,0.000182,0.016304,7.000000000000001e-06,1e-06,1.0,0.0,0.0,0.000603,0.000805,0.0,2.5e-05,0.0,7.000000000000001e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_001633.jpg,0.0,0.0,7.000000000000001e-06,0.0,0.000177,0.0,0.000161,0.002384,0.009888,1.7e-05,8e-06,1.0,0.0,0.0,0.001791,0.00058,3e-06,9.300000000000001e-05,0.0,2.8000000000000003e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_003879.jpg,0.0,0.0,9e-06,0.0,4.2e-05,0.0,1.2e-05,0.000245,0.08196200000000001,8e-06,2e-06,1.0,0.0,0.0,0.000265,0.00031,0.0,1.8e-05,0.0,9e-06
../data/VOCdevkit/VOC2012\JPEGImages\2011_002833.jpg,0.0,1e-06,8.6e-05,0.0,1.6e-05,0.0,8.1e-05,2.9999999999999997e-05,0.004381,0.004564,0.0,1.0,0.0,0.0,0.000958,0.000319,0.000629,2e-06,0.0,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2011_003098.jpg,0.0,2e-06,1.6e-05,0.0,0.000105,0.0,0.008193,0.003396,0.063278,0.000157,1.6e-05,1.0,2.5e-05,2e-06,0.007084999999999999,0.000338,0.002053,1.2e-05,1e-06,0.000101
../data/VOCdevkit/VOC2012\JPEGImages\2008_004273.jpg,0.0,3e-06,4.9e-05,0.0,0.001524,0.0,0.004371,0.001165,0.10948900000000002,0.00058,9.7e-05,1.0,4e-06,2e-06,0.0017920000000000002,0.004304,0.000165,0.000674,1.3000000000000001e-05,0.000264
../data/VOCdevkit/VOC2012\JPEGImages\2009_004076.jpg,0.0,0.0,2e-06,0.0,8.9e-05,0.0,4.8e-05,0.009143,0.016243,1e-05,2.5e-05,1.0,0.0,0.0,0.007116,0.0001,3e-06,0.002008,0.0,0.000183
../data/VOCdevkit/VOC2012\JPEGImages\2010_002824.jpg,0.0,0.0,8e-06,0.0,2e-06,0.0,0.0,0.998366,0.0072569999999999996,0.0,0.0,1.0,0.0,0.0,0.000181,0.0,0.0,0.0,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_003746.jpg,0.0,0.0,1e-06,0.0,3.6e-05,0.0,0.000147,0.000779,0.053279999999999994,5.9999999999999995e-05,1e-06,1.0,1e-06,0.0,0.016294,5.9e-05,5.4000000000000005e-05,3e-06,0.0,4e-05
../data/VOCdevkit/VOC2012\JPEGImages\2011_002589.jpg,0.0,0.0,1.2e-05,0.0,1e-05,0.0,2e-06,0.000293,0.001493,0.0,0.0,1.0,0.0,0.0,0.001377,8e-06,0.0,2e-05,0.0,7.000000000000001e-06
