image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2009_000412.jpg,4e-05,0.000129,0.0018620000000000002,1e-06,0.000264,0.0,0.002798,1e-06,0.000132,0.002117,4.7e-05,0.001103,0.9999309999999999,1.4999999999999999e-05,0.108057,0.000346,0.000278,1e-06,5e-06,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_007392.jpg,0.000166,0.0019879999999999997,7.099999999999999e-05,2.9999999999999997e-05,0.007561,1.1e-05,0.002687,2e-06,0.000573,0.001018,8.8e-05,0.000439,0.9999,0.0015810000000000002,0.998517,0.00231,0.000591,4e-06,0.0003,0.000132
../data/VOCdevkit/VOC2012\JPEGImages\2010_000038.jpg,0.000656,0.001018,0.001376,6e-06,0.002986,1e-05,0.002641,4e-06,0.000859,0.0018960000000000001,0.000362,0.000309,0.9998549999999999,0.000144,0.84983,0.0031850000000000003,0.00015900000000000002,3e-06,0.000135,7.4e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_004374.jpg,0.00038500000000000003,0.0017620000000000001,0.000183,3.5e-05,0.0019,4.6e-05,0.018229,2.2e-05,0.001258,0.000194,0.0007570000000000001,0.008726000000000001,0.999815,0.000139,0.98395,0.0039049999999999996,6.6e-05,2.6000000000000002e-05,0.00055,0.000533
../data/VOCdevkit/VOC2012\JPEGImages\2008_005215.jpg,0.0014320000000000001,0.0022960000000000003,0.000109,1.9e-05,0.002251,1e-05,0.004833,5e-06,0.00035299999999999996,0.001309,0.00025499999999999996,0.000666,0.999626,0.0011710000000000002,0.983376,0.00093,0.000234,8e-06,0.002897,6.4e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_003573.jpg,0.00014099999999999998,0.003003,0.00134,1.3000000000000001e-05,0.0029059999999999997,9e-06,0.003192,2.7000000000000002e-05,0.0015609999999999999,0.001062,0.000512,0.0055969999999999995,0.9995860000000001,4.4e-05,0.900241,0.004372999999999999,0.000132,1.1e-05,0.000172,8.8e-05
../data/VOCdevkit/VOC2012\JPEGImages\2011_001825.jpg,9e-06,0.000452,0.001277,1.6e-05,0.00302,5e-06,0.004243,0.00014099999999999998,0.020035,0.000354,0.0008119999999999999,0.19683900000000001,0.9991030000000001,5.2000000000000004e-05,0.40419499999999997,0.012579,6.6e-05,9.7e-05,2.5e-05,0.00018999999999999998
../data/VOCdevkit/VOC2012\JPEGImages\2008_006087.jpg,0.00072,0.0053289999999999995,0.000227,0.000239,0.007661,5e-05,0.031937,2.7000000000000002e-05,0.004246,0.113751,0.001956,0.001059,0.999064,0.004345,0.963471,0.023311000000000002,0.000849,1.4000000000000001e-05,0.0035060000000000004,8.499999999999999e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_008011.jpg,3.5e-05,6.4e-05,0.013622,1e-06,0.000285,2e-06,0.000348,2e-06,0.00045,0.049388,0.00023999999999999998,0.000745,0.999031,4.3e-05,0.061538,0.00041799999999999997,0.0015119999999999999,2e-06,6e-06,6e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_004476.jpg,0.00014,0.002317,0.00175,6.8e-05,0.002062,4e-06,0.0034100000000000003,3.5e-05,0.000801,0.0016699999999999998,0.00021899999999999998,0.030708999999999997,0.9988520000000001,0.000188,0.9435950000000001,0.001814,0.000132,1.7e-05,0.000176,0.000127
