image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2010_003745.jpg,0.00065,0.001018,6e-06,3e-06,0.000605,1e-06,0.00202,0.000126,1.9e-05,2.3e-05,2e-05,7.5e-05,9.1e-05,0.9999110000000001,0.038206,0.028462,3e-06,3e-06,5.5e-05,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_000510.jpg,0.000223,0.002234,1.9e-05,0.0,0.000124,1e-06,0.00036,3.1e-05,7.000000000000001e-06,4e-06,3e-06,5.7999999999999994e-05,0.0019309999999999998,0.999893,0.611052,0.005559000000000001,7.000000000000001e-06,0.0,3.5e-05,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2009_000858.jpg,0.000315,0.0007559999999999999,3e-06,1.3000000000000001e-05,0.00041900000000000005,1e-06,0.022647,0.001743,7.3e-05,8e-06,0.000151,0.000133,0.00016,0.999818,0.049432,0.13478199999999999,2e-06,5e-06,0.000176,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_004241.jpg,0.000261,0.014055000000000002,9e-06,3e-06,0.008055,1.1e-05,0.034648000000000005,0.002657,0.000472,1.8e-05,0.000275,0.000285,0.000356,0.99979,0.031346,0.113521,6e-06,5.6000000000000006e-05,0.00025699999999999996,1.2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_002629.jpg,0.007673,0.00339,5.2000000000000004e-05,1.1e-05,0.005945000000000001,1.3000000000000001e-05,0.000975,6.6e-05,1.4000000000000001e-05,1.2e-05,2.4e-05,0.000131,0.008639,0.9996379999999999,0.9240459999999999,0.0016129999999999999,8e-05,1e-06,9.499999999999999e-05,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_002131.jpg,0.0008869999999999999,0.000348,3e-06,1e-06,0.00937,1e-06,0.0043219999999999995,0.000245,4.3e-05,6e-06,0.000101,5.6999999999999996e-05,0.0010810000000000001,0.9995370000000001,0.141373,0.052582000000000004,5e-06,2e-06,1.4000000000000001e-05,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_000074.jpg,0.003011,0.004023,1.1e-05,2e-06,0.046521,4e-06,0.000606,0.000341,0.000106,5e-06,3.1e-05,0.000164,0.0013880000000000001,0.9993540000000001,0.27547,0.01151,6e-06,3e-06,3.4e-05,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_005078.jpg,0.0018620000000000002,0.00038700000000000003,2.3e-05,2.7000000000000002e-05,0.0015810000000000002,1.8e-05,0.002364,0.000147,1.7e-05,6.8e-05,4.3e-05,0.00019099999999999998,0.007763,0.99905,0.45588900000000004,0.004487,4.8e-05,2e-06,0.00028900000000000003,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_002651.jpg,0.0016920000000000001,0.001102,4.3e-05,9.7e-05,0.002292,1.6e-05,0.007691,0.000396,4.2e-05,0.000101,8.9e-05,0.000389,0.002747,0.998892,0.670473,0.003572,0.00011999999999999999,6e-06,7.8e-05,3e-06
../data/VOCdevkit/VOC2012\JPEGImages\2011_003013.jpg,0.008361,0.0038299999999999996,6.7e-05,1e-06,0.000866,4e-06,0.002349,0.000397,1.6e-05,7.000000000000001e-06,1.8e-05,6.9e-05,0.00049,0.998599,0.149144,0.007378,6e-06,5e-06,3.1e-05,2e-06
