image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_001075.jpg,0.0,4.1e-05,5e-06,0.0,0.0015539999999999998,0.0,6e-06,0.000269,0.046211,0.0,0.000401,0.000523,1e-06,1e-06,0.999999,0.001335,0.0,0.000729,0.0,0.001161
../data/VOCdevkit/VOC2012\JPEGImages\2011_000774.jpg,0.0,0.000133,3.8e-05,0.0,0.0033950000000000004,0.0,2e-05,0.0008810000000000001,0.023859,0.0,0.000699,0.0008,4e-06,5e-06,0.9999979999999999,0.004286,1e-06,0.000245,0.0,0.000327
../data/VOCdevkit/VOC2012\JPEGImages\2008_001284.jpg,2e-06,0.00043799999999999997,5.6000000000000006e-05,1e-05,0.024369,0.0,7.900000000000001e-05,0.000726,0.07495800000000001,1e-06,0.011537,0.0006490000000000001,1.6e-05,1.4999999999999999e-05,0.9999979999999999,0.012062999999999999,1.6e-05,0.006092,2e-06,0.008596
../data/VOCdevkit/VOC2012\JPEGImages\2011_000479.jpg,1e-06,0.001308,0.00014199999999999998,6e-06,0.020036,0.0,0.000106,0.000892,0.047589,3e-06,0.008567,0.001369,0.000278,4.5e-05,0.9999979999999999,0.0071400000000000005,5.6999999999999996e-05,0.008091,1e-05,0.004863
../data/VOCdevkit/VOC2012\JPEGImages\2010_004094.jpg,0.0,0.00010800000000000001,4.6e-05,1e-06,0.0068260000000000005,0.0,2.3e-05,0.002194,0.025848000000000003,1e-06,0.002082,0.004123,2e-05,1e-06,0.9999979999999999,0.002095,2.4e-05,0.003139,1e-06,0.000958
../data/VOCdevkit/VOC2012\JPEGImages\2008_000277.jpg,2e-06,0.000525,4.1e-05,6e-06,0.003329,0.0,0.000144,0.0012289999999999998,0.06955,1e-06,0.002491,0.002576,9e-06,3.1e-05,0.9999979999999999,0.013731,4.2e-05,0.008905,2e-06,0.003116
../data/VOCdevkit/VOC2012\JPEGImages\2008_000359.jpg,0.0,0.000293,7.4e-05,2.8000000000000003e-05,0.001736,0.0,8.6e-05,0.00044,0.031714,0.0,0.000981,0.000335,7.000000000000001e-06,6e-06,0.9999969999999999,0.0058200000000000005,2e-06,0.000349,1e-06,0.001185
../data/VOCdevkit/VOC2012\JPEGImages\2008_000796.jpg,0.0,0.000207,3.1e-05,2e-06,0.018596,0.0,4.4e-05,0.000337,0.175951,0.0,0.004589,0.00047400000000000003,9e-06,9e-06,0.9999969999999999,0.003057,6e-06,0.000733,1e-06,0.002535
../data/VOCdevkit/VOC2012\JPEGImages\2008_003915.jpg,1e-06,0.001183,0.000181,1.1e-05,0.0017690000000000002,0.0,7.6e-05,0.000918,0.049767,0.0,0.0044210000000000005,0.0016179999999999999,2.8999999999999997e-05,1.4000000000000001e-05,0.999994,0.016623,8e-06,0.00415,2e-06,0.005447
../data/VOCdevkit/VOC2012\JPEGImages\2008_002838.jpg,3e-06,0.0010890000000000001,4.4e-05,1.2e-05,0.010258,0.0,0.00029,0.0010810000000000001,0.067669,1e-06,0.003423,0.0007440000000000001,1.9e-05,4.8e-05,0.999993,0.013052000000000001,1.3000000000000001e-05,0.0008560000000000001,7.000000000000001e-06,0.0030600000000000002
