image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2010_003390.jpg,0.0,7.000000000000001e-06,6.7e-05,6e-06,0.0020629999999999997,0.0,5e-06,0.001483,0.00033,0.0,6.2e-05,0.000621,0.0,8e-06,1e-06,1.0,0.0,1e-06,0.0,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2008_000391.jpg,0.0,2.9999999999999997e-05,1.4999999999999999e-05,2.3e-05,0.000661,0.0,4.5e-05,0.000327,0.151653,1e-06,0.09428099999999999,0.00834,0.0,0.0,9e-06,1.0,0.0,0.000407,0.0,5.5e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_000330.jpg,0.0,0.00020800000000000001,4.7e-05,1e-05,0.0015429999999999999,0.0,0.00011599999999999999,0.000763,0.035225,1e-06,0.008567,0.014884,0.0,6e-06,2.9999999999999997e-05,1.0,0.0,0.00010700000000000001,0.0,3.6e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_003929.jpg,0.0,7.2e-05,0.001115,4e-06,0.0023120000000000003,0.0,9e-06,0.003774,0.0039570000000000004,1e-06,0.000452,0.001477,0.0,4.7e-05,1.4000000000000001e-05,0.999999,0.0,7.000000000000001e-06,0.0,7.000000000000001e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_001417.jpg,0.0,0.000594,0.00016,7.000000000000001e-06,0.017802000000000002,0.0,5.6999999999999996e-05,0.001425,0.023596000000000002,1e-06,0.001716,0.004596,0.0,7.000000000000001e-06,3.7e-05,0.9999979999999999,0.0,5.1e-05,0.0,0.000102
../data/VOCdevkit/VOC2012\JPEGImages\2010_005455.jpg,0.0,0.000732,0.0061070000000000004,1.1e-05,0.01499,1e-06,0.000123,0.0029230000000000003,0.009524,2e-06,0.00217,0.008533,0.0,9e-06,0.000122,0.999992,0.0,6.8e-05,0.0,2.8000000000000003e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_000526.jpg,0.0,0.00016299999999999998,0.003036,0.00018600000000000002,0.001831,1e-06,0.000166,0.001281,0.036733,6e-06,0.004352,0.027150999999999998,1e-06,8e-06,3.6e-05,0.999984,0.0,0.000151,0.0,7.7e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_000202.jpg,1e-06,0.000659,0.000273,6.4e-05,0.0068709999999999995,1e-06,0.00047400000000000003,0.041392,0.021409,8e-06,0.001266,0.034605000000000004,0.0,1.4999999999999999e-05,8e-05,0.999966,0.0,0.000118,0.0,0.000105
../data/VOCdevkit/VOC2012\JPEGImages\2010_000015.jpg,6e-06,0.000563,0.000267,0.00011,0.002346,2.3e-05,0.001045,0.0019320000000000001,0.24947600000000003,3.1e-05,0.071261,0.036215,2e-06,1.2e-05,0.000357,0.999956,0.0,0.0015429999999999999,1e-06,0.00031099999999999997
../data/VOCdevkit/VOC2012\JPEGImages\2008_005847.jpg,8e-06,0.000592,0.001511,0.00010400000000000001,0.021847,6e-06,0.00023199999999999997,0.011219,0.364222,3.9e-05,0.08434,0.007520000000000001,3e-06,2.4e-05,0.000436,0.9999530000000001,1e-06,0.0016489999999999999,1e-06,0.000868
../data/VOCdevkit/VOC2012\JPEGImages\2009_003679.jpg,4e-06,0.000136,0.033375999999999996,0.00032599999999999996,0.001599,1e-06,0.00021400000000000002,0.001164,0.045488,2e-06,0.008008,0.0013650000000000001,2e-06,3e-06,0.0001,0.9998790000000001,0.0,0.000154,0.0,0.000197
../data/VOCdevkit/VOC2012\JPEGImages\2010_004382.jpg,1e-05,0.003639,0.011208,0.000509,0.006881999999999999,0.00018999999999999998,0.001438,0.007502,0.349937,0.000105,0.056539,0.023469999999999998,4.8e-05,4e-05,0.0013880000000000001,0.999869,5e-06,0.002636,1.8e-05,0.0014
../data/VOCdevkit/VOC2012\JPEGImages\2009_003074.jpg,1.4000000000000001e-05,0.00109,0.000321,6.500000000000001e-05,0.013521,1.2e-05,0.0009130000000000001,0.012068,0.014443000000000001,2e-05,0.009229000000000001,0.006365,4e-06,0.001583,0.0006799999999999999,0.999862,1e-06,0.000322,1e-06,0.000129
../data/VOCdevkit/VOC2012\JPEGImages\2008_006262.jpg,1.4000000000000001e-05,0.0032270000000000003,0.0013160000000000001,0.000368,0.047682,9.2e-05,0.00317,0.011917,0.039313,3.5e-05,0.013766999999999998,0.021988999999999998,1.8e-05,7.6e-05,0.001861,0.9998520000000001,2e-06,0.0011710000000000002,6e-06,0.00084
../data/VOCdevkit/VOC2012\JPEGImages\2008_006828.jpg,2.1e-05,0.002783,0.002117,0.000653,0.011528,4.6e-05,0.001925,0.002363,0.391115,5.7999999999999994e-05,0.070375,0.018262,7.000000000000001e-06,3.1e-05,0.0009,0.9998459999999999,1e-06,0.003573,3e-06,0.002395
../data/VOCdevkit/VOC2012\JPEGImages\2009_004885.jpg,2.2e-05,0.000454,0.001707,0.00045099999999999996,0.016891,1.4999999999999999e-05,0.000508,0.006402,0.378136,8.9e-05,0.45546400000000004,0.020656,4e-06,3.5e-05,0.000916,0.999825,2e-06,0.003054,1e-06,0.002128
../data/VOCdevkit/VOC2012\JPEGImages\2009_004532.jpg,5e-06,0.002397,0.001005,5e-05,0.00793,3.9e-05,0.000641,0.009283,0.76065,0.000134,0.341414,0.131877,6e-06,2.8000000000000003e-05,0.003978,0.9997379999999999,1.7e-05,0.24484699999999998,2e-06,0.006469
../data/VOCdevkit/VOC2012\JPEGImages\2008_003636.jpg,1.7e-05,0.0017239999999999998,0.0022370000000000003,0.000262,0.081147,1.6e-05,0.000986,0.0036009999999999996,0.061041,1.4000000000000001e-05,0.007824,0.005151,5e-06,0.000157,0.0006389999999999999,0.999726,0.0,0.000446,3e-06,0.000383
