image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2010_000831.jpg,3.2e-05,3.7e-05,0.010646,5e-06,0.000365,4e-06,0.001193,2e-05,0.000446,0.001312,2.2e-05,0.001353,0.00073,0.000133,0.032288,0.00024300000000000002,0.996025,5.9999999999999995e-05,6e-06,3e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_003618.jpg,8e-06,3.2e-05,0.002262,7.000000000000001e-06,0.000433,4e-06,0.004647999999999999,0.004707,0.008002,0.018784,0.000204,0.017015,0.00020099999999999998,0.000396,0.039152,0.001322,0.995381,5.6000000000000006e-05,0.000129,8e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_005514.jpg,5e-06,5.4000000000000005e-05,0.008187999999999999,8e-06,0.000502,3e-06,0.002221,0.014922999999999999,0.002769,0.047585,8.8e-05,0.012009,0.00010400000000000001,0.000277,0.009432,0.000212,0.993137,5.9e-05,1.3000000000000001e-05,1.9e-05
../data/VOCdevkit/VOC2012\JPEGImages\2011_000102.jpg,3.1e-05,4.4e-05,0.41826899999999995,2.8000000000000003e-05,0.002002,1e-06,0.000227,0.033731,0.001403,4.6e-05,0.00020099999999999998,0.011295,1.2e-05,0.000213,0.021478999999999998,0.000143,0.987461,0.000633,5e-06,7e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_002518.jpg,4.2e-05,2.5e-05,0.06150599999999999,1e-06,0.00023199999999999997,1e-06,0.00022,2.6000000000000002e-05,5.5e-05,0.001934,6e-06,0.000124,0.019187,0.00011499999999999999,0.024489,1.6e-05,0.9867549999999999,1e-06,2e-06,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2009_000924.jpg,2.3e-05,1.1e-05,0.003856,2e-06,0.00040300000000000004,0.0,0.000598,0.000678,0.000169,0.014565,1.6e-05,0.003129,0.00061,3.5e-05,0.015278,4.8e-05,0.9861690000000001,2e-06,4e-06,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_004868.jpg,3.3e-05,0.0,0.026226,1e-06,5.2000000000000004e-05,0.0,4.4e-05,0.00072,7.2e-05,0.000154,1.3000000000000001e-05,1.4000000000000001e-05,4.1e-05,1.6e-05,0.003266,6e-06,0.9854700000000001,2e-06,0.0,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_007677.jpg,9e-06,0.00010800000000000001,0.0037890000000000003,2e-05,0.001835,2.4e-05,0.001274,0.006137,0.009122,0.010657999999999999,5.6999999999999996e-05,0.12626800000000002,0.000293,0.000863,0.025004,0.001876,0.9840610000000001,0.000272,0.000143,3.9e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_004188.jpg,5e-06,3.8e-05,0.0018149999999999998,0.0,0.0009449999999999999,0.0,0.000315,0.015713,0.002163,0.142265,6.500000000000001e-05,0.061454999999999996,8e-06,5.5e-05,0.001527,0.001112,0.981663,7.000000000000001e-06,0.0,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_004226.jpg,1.1e-05,3.3e-05,0.002153,1e-06,0.001629,1e-06,0.000267,0.002327,0.0007019999999999999,0.002858,3.2e-05,0.054085,7e-05,5.7999999999999994e-05,0.006601,0.00018600000000000002,0.981319,1.2e-05,1e-06,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_001286.jpg,2e-06,0.000166,0.001235,4e-06,0.004124,0.0,0.0023190000000000003,0.180534,0.011139,0.036813,8.2e-05,0.828426,0.000701,0.000133,0.011389,0.001401,0.979901,4.6e-05,4e-06,9e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_001079.jpg,0.00016,1e-05,0.164872,1.3000000000000001e-05,0.000522,2e-06,0.00024300000000000002,0.000167,0.000509,0.001001,2.7000000000000002e-05,0.000133,0.001125,3.9e-05,0.0056890000000000005,1.4000000000000001e-05,0.978094,2.8000000000000003e-05,6e-06,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_005566.jpg,5e-06,8e-06,0.069646,0.0,0.000168,0.0,0.0017280000000000002,2.4e-05,5.2000000000000004e-05,0.000135,4e-06,5.9999999999999995e-05,0.000651,8.4e-05,0.020687999999999998,4.3e-05,0.9773729999999999,0.0,5e-06,0.0
../data/VOCdevkit/VOC2012\JPEGImages\2010_003761.jpg,8.4e-05,5.4000000000000005e-05,0.039033,1.1e-05,0.000534,4e-06,0.0015480000000000001,0.001335,0.003396,0.006323,0.00014099999999999998,0.019106,0.00026000000000000003,0.000322,0.024174,0.000262,0.975261,7.8e-05,1.4999999999999999e-05,1.8e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_001738.jpg,0.000124,0.00013700000000000002,0.019856,8.2e-05,0.001945,5.5e-05,0.003493,0.001719,0.00421,0.005325,0.000258,0.040868,0.0032770000000000004,0.000508,0.082109,0.000964,0.9728549999999999,8.7e-05,4.3e-05,1.4999999999999999e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_005005.jpg,9.9e-05,4.8e-05,0.007367,3e-06,0.001536,4e-06,0.000828,0.000368,0.002874,0.001009,0.00010700000000000001,0.020713,0.0007639999999999999,0.000357,0.024703,0.000231,0.9700559999999999,0.000411,4e-06,1.4999999999999999e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_000039.jpg,0.000105,4e-06,0.0068980000000000005,1.1e-05,0.001084,0.0,0.00023700000000000001,0.057821000000000004,0.000178,0.004562,1.4999999999999999e-05,0.0068260000000000005,2.3e-05,3.5e-05,0.00398,8.7e-05,0.955951,8e-06,1e-06,4e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_003806.jpg,0.001491,7.8e-05,0.06539299999999999,8.6e-05,0.00056,4.5e-05,0.001877,0.000197,0.00015900000000000002,0.007762000000000001,3.6e-05,0.0008410000000000001,0.0021550000000000002,0.00054,0.014705000000000001,0.000174,0.9518040000000001,1.4000000000000001e-05,6.500000000000001e-05,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_005416.jpg,0.000334,0.00023700000000000001,0.0036079999999999997,3.6e-05,0.0010689999999999999,4.8e-05,0.0036609999999999998,0.00025,0.00081,0.019933000000000003,6.6e-05,0.011802,0.014116,0.00049,0.055015999999999995,0.0006929999999999999,0.951309,5.1e-05,7.8e-05,1.6e-05
../data/VOCdevkit/VOC2012\JPEGImages\2010_001557.jpg,1.1e-05,1.4000000000000001e-05,0.07838400000000001,0.0,0.000185,0.0,0.000293,2.7000000000000002e-05,0.00064,0.005011,3.7e-05,0.002081,0.000462,0.000117,0.019035,7.3e-05,0.9462809999999999,6e-06,2e-06,3e-06
../data/VOCdevkit/VOC2012\JPEGImages\2011_002817.jpg,0.000118,2.5e-05,0.008579,8e-06,0.000752,5e-06,0.0004980000000000001,0.001489,0.001703,0.004262,0.000132,0.008671,0.0017239999999999998,0.000308,0.013932,0.00015,0.9386,5.4000000000000005e-05,5e-06,9e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_003102.jpg,3.5e-05,0.000124,0.11415,8e-06,0.0013039999999999998,1e-06,0.00046100000000000004,0.006944,0.000356,0.000974,2.9999999999999997e-05,0.016849,0.000489,0.000337,0.022768,0.000699,0.935458,2.2e-05,9e-06,2e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_004164.jpg,0.000223,2.2e-05,0.025555,3e-06,0.00047999999999999996,1e-06,0.00018999999999999998,8.9e-05,0.000721,0.001265,1.8e-05,0.001775,0.002738,0.00015,0.011448999999999999,3.6e-05,0.927334,3.8e-05,5e-06,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2010_002041.jpg,0.000276,0.00013000000000000002,0.002821,2.9999999999999997e-05,0.000671,1.7e-05,0.000995,0.000866,0.001129,0.18713,5.3e-05,0.006222,8.2e-05,0.00032900000000000003,0.005915999999999999,0.001511,0.924171,0.000411,0.00041799999999999997,9e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_004768.jpg,2.1e-05,0.000354,0.00299,1.4000000000000001e-05,0.000625,2e-06,0.002405,0.0008150000000000001,0.001009,0.35055,5.5e-05,0.389992,0.001996,0.00035,0.009221,0.001825,0.9181370000000001,2.4e-05,0.00014199999999999998,1.7e-05
