image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2009_003123.jpg,0.000397,0.0011769999999999999,0.000395,0.00014099999999999998,0.002344,0.000131,0.004894,0.000711,0.901869,6.1e-05,0.013287,0.0012050000000000001,4.4e-05,3.5e-05,0.035099,0.09546,3.5e-05,0.863023,8.6e-05,0.015802
../data/VOCdevkit/VOC2012\JPEGImages\2011_002184.jpg,0.000132,0.003915999999999999,0.0004969999999999999,0.000268,0.009479000000000001,4.9e-05,0.001039,0.0047020000000000005,0.349761,0.000101,0.00895,0.011533,0.000505,0.00011499999999999999,0.994149,0.060987,0.000314,0.8231450000000001,7.5e-05,0.02361
../data/VOCdevkit/VOC2012\JPEGImages\2011_001531.jpg,0.001283,0.000798,0.001472,0.000608,0.008134,8.1e-05,0.001027,0.001113,0.9843139999999999,7.900000000000001e-05,0.226965,0.001193,0.00016,6.1e-05,0.006804000000000001,0.272683,2.1e-05,0.7989539999999999,0.000463,0.356275
../data/VOCdevkit/VOC2012\JPEGImages\2008_003709.jpg,0.0036439999999999997,0.001231,0.003198,0.0008179999999999999,0.011151000000000001,0.000306,0.002595,0.03778,0.658147,0.0011619999999999998,0.031319,0.006975,0.000317,0.000173,0.019422,0.103449,0.00011200000000000001,0.78375,0.000268,0.125864
../data/VOCdevkit/VOC2012\JPEGImages\2009_003607.jpg,0.001471,0.00049,0.00046100000000000004,0.000263,0.004334,5e-05,0.001955,0.009463,0.946407,0.000241,0.041333999999999996,0.005054,0.00021099999999999998,3.8e-05,0.018218,0.13455899999999998,2.2e-05,0.776065,0.00023799999999999998,0.111873
../data/VOCdevkit/VOC2012\JPEGImages\2008_000857.jpg,0.000504,0.0013570000000000001,0.003633,0.000199,0.020728,0.000126,0.001178,0.049035,0.8714770000000001,0.000788,0.15012899999999998,0.019683000000000003,0.000103,8.7e-05,0.011581999999999999,0.603693,0.00011599999999999999,0.763811,0.000126,0.150153
../data/VOCdevkit/VOC2012\JPEGImages\2010_005692.jpg,9e-05,0.001159,0.000915,0.000197,0.012308,7.5e-05,0.001036,0.005818,0.539432,0.000295,0.015101,0.007803,9e-05,4.3e-05,0.613735,0.09814500000000001,0.000434,0.728847,0.000308,0.11257
../data/VOCdevkit/VOC2012\JPEGImages\2009_004419.jpg,8.9e-05,0.00018,0.000867,1.7e-05,0.005472,2e-06,3.9e-05,0.007668,0.972427,4.6e-05,0.05184400000000001,0.001098,1.2e-05,6e-06,0.033406,0.052404,1e-05,0.718593,7.000000000000001e-06,0.112765
../data/VOCdevkit/VOC2012\JPEGImages\2008_008554.jpg,0.001202,0.002068,0.001462,0.00047699999999999994,0.019634,0.000397,0.004681,0.003141,0.9316260000000001,0.000317,0.069377,0.002961,0.000185,0.000121,0.0434,0.182342,0.000151,0.683196,0.000333,0.693466
../data/VOCdevkit/VOC2012\JPEGImages\2008_006979.jpg,0.0009289999999999999,0.0016579999999999998,0.002386,0.000975,0.044654,0.000242,0.001143,0.046343999999999996,0.927575,0.00037,0.23730199999999999,0.007868,0.00032599999999999996,9.7e-05,0.289534,0.141206,0.000166,0.675063,0.000175,0.214547
../data/VOCdevkit/VOC2012\JPEGImages\2008_007182.jpg,0.000331,0.001465,0.003047,0.000273,0.018369999999999997,3.4e-05,0.000482,0.005011,0.581299,0.000109,0.033864,0.016501,0.000156,0.000102,0.972404,0.061175,0.00011,0.671024,3.9e-05,0.048931999999999996
../data/VOCdevkit/VOC2012\JPEGImages\2010_001962.jpg,0.004784,0.0035380000000000003,0.004849,0.000531,0.007917,0.0009539999999999999,0.013019,0.016848,0.5408029999999999,0.00045999999999999996,0.025903,0.004636,0.00028900000000000003,0.000279,0.017905,0.129745,0.000173,0.655363,0.00038500000000000003,0.096594
../data/VOCdevkit/VOC2012\JPEGImages\2008_001838.jpg,4.9e-05,0.0017170000000000002,0.002102,0.00018700000000000002,0.034921,4e-06,0.000262,0.005089,0.489882,4e-05,0.016615,0.00619,7.4e-05,8.499999999999999e-05,0.997556,0.029421,0.000442,0.630242,1.2e-05,0.044919
../data/VOCdevkit/VOC2012\JPEGImages\2009_000242.jpg,8.1e-05,0.000384,0.016040000000000002,2.5e-05,0.006705,5e-06,0.000164,0.068347,0.644879,9.9e-05,0.024293000000000002,0.009562000000000001,7.3e-05,1.4999999999999999e-05,0.018478,0.135099,1.7e-05,0.586591,5e-06,0.023913999999999998
../data/VOCdevkit/VOC2012\JPEGImages\2009_000563.jpg,0.000801,0.005848,0.002066,0.00022200000000000003,0.006336,0.000124,0.004334,0.009314,0.43707799999999997,0.000593,0.0017579999999999998,0.004155,0.00020800000000000001,0.000323,0.28926399999999997,0.043762999999999996,0.00025,0.5824630000000001,0.000155,0.01326
../data/VOCdevkit/VOC2012\JPEGImages\2008_008470.jpg,0.005522999999999999,0.002391,0.001564,0.000522,0.0074659999999999995,0.0014880000000000002,0.052400999999999996,0.002879,0.602911,0.000487,0.007745,0.002137,0.000512,0.00034500000000000004,0.023530000000000002,0.10800499999999999,0.00016299999999999998,0.5658340000000001,0.013517,0.012297
../data/VOCdevkit/VOC2012\JPEGImages\2010_003613.jpg,0.000138,0.001183,0.003368,0.0004940000000000001,0.016719,8e-06,0.001104,0.0058130000000000005,0.136206,1.7e-05,0.0018510000000000002,0.003047,0.00013000000000000002,5.9999999999999995e-05,0.973067,0.021956,0.000148,0.535755,5e-05,0.006518
