image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2009_004799.jpg,1.9e-05,0.000174,2.5e-05,1.9e-05,0.00011399999999999999,0.000102,0.000475,1.2e-05,0.000196,0.000152,4e-06,0.00023700000000000001,3.1e-05,0.00010700000000000001,0.12464700000000001,0.002427,9e-06,2e-06,1.0,2.6000000000000002e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_003951.jpg,0.0,2e-05,1e-06,0.0,4e-06,3e-06,5.2000000000000004e-05,2e-06,2.5e-05,3e-06,0.0,0.000172,0.0,1.1e-05,0.22961900000000002,0.001282,0.0,0.0,1.0,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_000090.jpg,2.3e-05,0.000198,7.000000000000001e-06,8e-06,5e-05,4.7e-05,0.000906,7.000000000000001e-06,7.6e-05,1.1e-05,2e-06,9.499999999999999e-05,1.2e-05,3.6e-05,0.046533,0.002269,4e-06,0.0,1.0,8e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_005292.jpg,1e-06,3.6e-05,3e-06,1e-06,3.1e-05,2.9999999999999997e-05,0.000165,6e-06,5.9999999999999995e-05,5e-06,1e-06,0.000336,1e-06,1.4000000000000001e-05,0.195827,0.005044,0.0,0.0,1.0,1.3000000000000001e-05
../data/VOCdevkit/VOC2012\JPEGImages\2011_003149.jpg,5e-06,7.000000000000001e-06,6e-06,0.0,1.8e-05,6.6e-05,1.1e-05,9e-06,5.1e-05,1.3000000000000001e-05,2e-06,0.001006,3e-06,2.9999999999999997e-05,0.05255,0.000921,4e-06,0.0,1.0,3e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_001164.jpg,0.0,3e-06,2e-06,0.0,5e-06,0.002874,2.8000000000000003e-05,7.000000000000001e-06,3.2e-05,2e-06,1e-06,0.0006580000000000001,1e-06,4.7e-05,0.161325,0.000553,1e-06,0.0,1.0,5e-06
../data/VOCdevkit/VOC2012\JPEGImages\2011_001741.jpg,2e-06,3.5e-05,4e-06,1e-06,3.9e-05,0.00025499999999999996,0.00015,1.9e-05,0.000156,3.7e-05,5e-06,0.000935,2.1e-05,0.000336,0.123615,0.003399,3e-06,1e-06,1.0,9e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_003299.jpg,0.00020299999999999997,4.9e-05,1.4000000000000001e-05,3e-06,5.9e-05,3.8e-05,0.00021400000000000002,1.7e-05,0.000143,8.8e-05,4e-06,0.000291,8.4e-05,0.000176,0.10143300000000001,0.001759,1.3000000000000001e-05,3e-06,1.0,0.000102
../data/VOCdevkit/VOC2012\JPEGImages\2009_003638.jpg,0.00018600000000000002,8e-06,2e-06,1e-06,5e-06,2.4e-05,1.4000000000000001e-05,1e-06,1e-05,3e-06,0.0,3.2e-05,3e-06,2e-06,0.023661,0.000488,0.0,0.0,1.0,2e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_002144.jpg,2.6000000000000002e-05,4.9e-05,7.000000000000001e-06,3e-06,3.4e-05,0.00019099999999999998,0.00023700000000000001,8e-06,8.6e-05,6.500000000000001e-05,2e-06,0.00037999999999999997,2.7000000000000002e-05,7.2e-05,0.10768499999999999,0.0034560000000000003,3e-06,1e-06,1.0,1.8e-05
../data/VOCdevkit/VOC2012\JPEGImages\2009_003311.jpg,1e-06,9e-06,7.000000000000001e-06,0.0,2.5e-05,1.4000000000000001e-05,2e-06,3e-06,2.8000000000000003e-05,2e-06,1e-06,0.000349,0.0,8e-06,0.023415000000000002,0.001006,1e-06,0.0,1.0,1e-06
../data/VOCdevkit/VOC2012\JPEGImages\2009_002982.jpg,1e-06,3.1e-05,5e-06,1e-06,1.2e-05,0.000152,0.000215,5e-06,5.6000000000000006e-05,1.3000000000000001e-05,2e-06,0.00037799999999999997,3e-06,4.6e-05,0.12334300000000001,0.002784,4e-06,0.0,1.0,3e-06
