image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2009_000549.jpg,0.000763,6.9e-05,3.8e-05,1e-05,0.005925,1.9e-05,0.000197,0.004607,0.005659,4e-06,4e-05,6e-06,0.000103,2e-06,0.031495,0.004756,9e-06,7e-05,3e-06,1.0
../data/VOCdevkit/VOC2012\JPEGImages\2009_003895.jpg,0.000205,0.00011999999999999999,3.1e-05,4e-06,0.004176,9.2e-05,0.000323,0.016241,0.024416999999999998,2e-05,0.000126,0.00022799999999999999,0.000391,5.5e-05,0.032401,0.00848,1e-05,0.000394,0.000647,0.999999
../data/VOCdevkit/VOC2012\JPEGImages\2009_005221.jpg,0.000612,0.000157,0.000512,5.2000000000000004e-05,0.0049299999999999995,5.1e-05,0.000735,0.030813,0.04451,3.1e-05,0.0004980000000000001,0.00020299999999999997,0.000304,6.7e-05,0.020112,0.035872,2.8000000000000003e-05,0.0008359999999999999,1.7e-05,0.999992
../data/VOCdevkit/VOC2012\JPEGImages\2008_005962.jpg,0.006229999999999999,0.000251,0.000504,4.3e-05,0.006518,2.3e-05,0.000285,0.009622,0.060329999999999995,1.2e-05,0.003003,0.000174,0.000198,1.4000000000000001e-05,0.022438,0.053047000000000004,2.8999999999999997e-05,0.000595,8e-06,0.9999889999999999
../data/VOCdevkit/VOC2012\JPEGImages\2009_002366.jpg,0.001572,0.000687,0.0006929999999999999,0.00010400000000000001,0.020162,0.000254,0.001006,0.046887,0.095839,5.9e-05,0.003032,0.00049,0.000433,9.8e-05,0.014993000000000001,0.040033,2.8000000000000003e-05,0.0014199999999999998,4.6e-05,0.9999709999999999
../data/VOCdevkit/VOC2012\JPEGImages\2011_000077.jpg,0.0072,0.000314,0.000135,6e-06,0.002723,2.2e-05,0.00044500000000000003,0.0061979999999999995,0.003922,6e-06,0.00023199999999999997,5e-05,7.6e-05,4e-05,0.015972,0.029505,8e-06,0.000126,2.8999999999999997e-05,0.999969
../data/VOCdevkit/VOC2012\JPEGImages\2010_000931.jpg,0.000469,0.0007019999999999999,0.000151,1.4000000000000001e-05,0.004113,4.7e-05,0.003012,0.005672,0.051862,2e-05,0.00025699999999999996,0.00034700000000000003,0.00025299999999999997,4.5e-05,0.12140999999999999,0.017334,4.5e-05,0.001854,0.001939,0.999969
../data/VOCdevkit/VOC2012\JPEGImages\2008_005393.jpg,8.499999999999999e-05,0.000175,0.000103,1e-05,0.0014349999999999999,0.00011499999999999999,0.002402,0.006923,0.019194,1.7e-05,0.000752,0.001216,0.000458,4.2e-05,0.141172,0.026244999999999997,2.4e-05,0.002905,0.000462,0.999943
../data/VOCdevkit/VOC2012\JPEGImages\2009_003214.jpg,0.000454,0.000647,0.00023700000000000001,1.8e-05,0.005594,0.000327,0.000977,0.009127,0.019237999999999998,5.1e-05,0.0009429999999999999,0.000641,0.00032,0.00020800000000000001,0.092933,0.015094,5.3e-05,0.0014199999999999998,0.005909,0.999934
../data/VOCdevkit/VOC2012\JPEGImages\2010_005676.jpg,0.000323,0.0007469999999999999,0.000537,2.7000000000000002e-05,0.005304,6.500000000000001e-05,0.0007379999999999999,0.00314,0.14723699999999998,9.7e-05,0.002598,0.00067,0.000614,6.500000000000001e-05,0.033166,0.066488,2.1e-05,0.003512,0.00010400000000000001,0.999927
../data/VOCdevkit/VOC2012\JPEGImages\2008_005008.jpg,0.0019260000000000002,0.001056,0.0013880000000000001,0.000151,0.018009,0.00018,0.000662,0.013857,0.147755,9.8e-05,0.010634000000000001,0.000731,0.0005679999999999999,6.500000000000001e-05,0.018818,0.139601,5.1e-05,0.003718,8.3e-05,0.9998870000000001
../data/VOCdevkit/VOC2012\JPEGImages\2009_004478.jpg,0.00216,0.000426,0.0009609999999999999,0.000165,0.024369,0.000109,0.002639,0.020866,0.008284,1.7e-05,0.000319,0.000429,0.000625,4.3e-05,0.11471700000000001,0.011182,5.6000000000000006e-05,0.000915,3.1e-05,0.999864
../data/VOCdevkit/VOC2012\JPEGImages\2009_003204.jpg,0.000692,0.000901,0.002195,5.6999999999999996e-05,0.020048,0.000171,0.000792,0.039618,0.032531,6.8e-05,0.0020870000000000003,0.000696,0.0008990000000000001,6.4e-05,0.064653,0.074771,6.1e-05,0.0022440000000000003,7.4e-05,0.9998049999999999
../data/VOCdevkit/VOC2012\JPEGImages\2008_002680.jpg,0.0005070000000000001,0.00014199999999999998,0.000341,4.9e-05,0.0008810000000000001,0.00035800000000000003,0.006781999999999999,0.019555,0.0030800000000000003,2.7000000000000002e-05,0.000157,0.0009029999999999999,0.000218,1.7e-05,0.04018,0.011838,3.6e-05,0.00038199999999999996,4.1e-05,0.9997729999999999
../data/VOCdevkit/VOC2012\JPEGImages\2009_002733.jpg,0.000376,0.000471,0.001484,7.8e-05,0.007339,0.000131,0.00040199999999999996,0.035453,0.0663,2.2e-05,0.00224,0.00095,0.000293,0.00011100000000000001,0.085235,0.021412999999999998,4.5e-05,0.003408,0.000192,0.999768
../data/VOCdevkit/VOC2012\JPEGImages\2008_007114.jpg,0.001042,0.00022200000000000003,0.00432,1.3000000000000001e-05,0.014981,7.000000000000001e-06,0.000368,0.004098,0.013261000000000002,1e-06,0.000296,5.3e-05,1.8e-05,3e-06,0.016682,0.009911,4e-06,0.00010800000000000001,1.6e-05,0.9997659999999999
../data/VOCdevkit/VOC2012\JPEGImages\2008_006147.jpg,0.000682,0.0017690000000000002,0.003628,0.0004,0.018838999999999998,0.0011380000000000001,0.001697,0.021537,0.046474,9.7e-05,0.0032329999999999998,0.0021149999999999997,0.001118,0.000193,0.062627,0.05519500000000001,0.000139,0.005179,0.0007440000000000001,0.9997090000000001
../data/VOCdevkit/VOC2012\JPEGImages\2009_003523.jpg,0.002333,0.000526,0.000534,0.000226,0.003166,0.002049,0.004893,0.007726,0.0026780000000000003,1.8e-05,0.000171,0.0006230000000000001,0.000143,1.4999999999999999e-05,0.084961,0.004972,3.7e-05,0.000175,0.00013700000000000002,0.9997
../data/VOCdevkit/VOC2012\JPEGImages\2010_002247.jpg,0.00037999999999999997,0.000762,0.001689,3.5e-05,0.009298,2.8999999999999997e-05,0.000956,0.044719,0.06201,3.1e-05,0.001039,0.0006730000000000001,0.000517,9.1e-05,0.212654,0.014794999999999999,3.6e-05,0.001501,0.000242,0.9996860000000001
../data/VOCdevkit/VOC2012\JPEGImages\2009_000041.jpg,0.012206,0.001032,0.002588,0.000265,0.023955,0.000168,0.003173,0.048858,0.062051999999999996,6.2e-05,0.002325,0.0016079999999999998,0.00049,0.000156,0.044683999999999995,0.034813,0.000134,0.0037600000000000003,3.3e-05,0.99964
../data/VOCdevkit/VOC2012\JPEGImages\2008_003466.jpg,0.001962,0.001202,0.001736,0.000218,0.006852,0.00028,0.002731,0.006768000000000001,0.055177,4.1e-05,0.002298,0.0006230000000000001,0.000312,1.9e-05,0.086773,0.100209,5.3e-05,0.00295,2.7000000000000002e-05,0.9995870000000001
../data/VOCdevkit/VOC2012\JPEGImages\2011_001387.jpg,5e-05,0.00023700000000000001,0.000664,1.1e-05,0.0068709999999999995,1.1e-05,0.00021,0.017213,0.013732,1.4999999999999999e-05,0.000607,0.000525,0.00019099999999999998,1.2e-05,0.8562700000000001,0.006737000000000001,7.6e-05,0.0007830000000000001,8.7e-05,0.999461
../data/VOCdevkit/VOC2012\JPEGImages\2009_002232.jpg,0.085607,0.00041900000000000005,0.00055,0.001193,0.0015279999999999998,0.00115,0.004633,0.006817,0.0022199999999999998,0.000124,0.00025,0.000233,0.0009960000000000001,5.2000000000000004e-05,0.063048,0.0020329999999999997,0.000126,0.00025699999999999996,0.00014199999999999998,0.9994059999999999
../data/VOCdevkit/VOC2012\JPEGImages\2008_002481.jpg,0.002457,0.0016359999999999999,0.000522,0.000252,0.03224,0.000252,0.00196,0.004947999999999999,0.32857600000000003,5.2000000000000004e-05,0.013427000000000001,0.0003,0.000407,8.9e-05,0.042672,0.049283,1.7e-05,0.011271,0.000375,0.9993719999999999
../data/VOCdevkit/VOC2012\JPEGImages\2010_005305.jpg,0.003181,0.001573,0.000647,9.9e-05,0.011683,0.000337,0.002007,0.017396000000000002,0.39405100000000004,5.3e-05,0.004866,0.00034700000000000003,0.000563,0.000165,0.01969,0.046417,1.9e-05,0.0030039999999999997,9.300000000000001e-05,0.999274
../data/VOCdevkit/VOC2012\JPEGImages\2010_001918.jpg,0.001832,0.0008619999999999999,0.000405,8.4e-05,0.0036810000000000002,0.002212,0.006954000000000001,0.0038450000000000003,0.049427,3.9e-05,0.001853,0.000421,0.000573,0.000106,0.125256,0.018258,5.1e-05,0.002549,0.001604,0.9992059999999999
../data/VOCdevkit/VOC2012\JPEGImages\2009_002967.jpg,0.011329,0.0009449999999999999,0.0031940000000000002,0.000711,0.027157999999999998,0.00023500000000000002,0.003906,0.016975,0.015955,4.3e-05,0.001592,0.00043,0.000659,6.500000000000001e-05,0.048861,0.021567,6.3e-05,0.001443,0.000252,0.9991979999999999
../data/VOCdevkit/VOC2012\JPEGImages\2008_007933.jpg,0.000719,0.000985,0.0010789999999999999,7.5e-05,0.004686,0.021928,0.0021420000000000002,0.018562000000000002,0.004396,7.900000000000001e-05,0.000968,0.000802,0.000865,0.000169,0.293774,0.019609,0.000102,0.000837,0.002332,0.998822
../data/VOCdevkit/VOC2012\JPEGImages\2009_001839.jpg,0.00011499999999999999,0.0010119999999999999,0.001075,2.2e-05,0.018744,1.2e-05,0.0005549999999999999,0.02017,0.18092,2e-05,0.00231,0.00025699999999999996,0.000199,2.9999999999999997e-05,0.074115,0.071001,3.7e-05,0.0032020000000000004,5.6999999999999996e-05,0.998661
../data/VOCdevkit/VOC2012\JPEGImages\2008_008429.jpg,0.00016999999999999999,0.000743,0.0016489999999999999,0.000101,0.009376,0.000145,0.000715,0.021621,0.069886,6.3e-05,0.003428,0.001537,0.000278,3.2e-05,0.056996000000000005,0.135874,3.6e-05,0.006197,3.7e-05,0.998498
../data/VOCdevkit/VOC2012\JPEGImages\2008_003432.jpg,0.005872,0.002421,0.000475,0.000217,0.039822,0.000138,0.000834,0.002069,0.724256,4.3e-05,0.045025,0.000575,0.001198,0.00024300000000000002,0.142085,0.065787,2.8000000000000003e-05,0.005335,0.000139,0.998475
../data/VOCdevkit/VOC2012\JPEGImages\2008_005660.jpg,0.0007099999999999999,0.005392,0.001286,0.000148,0.013335,0.002407,0.002856,0.024217,0.054786,0.00023500000000000002,0.003514,0.00488,0.0009550000000000001,0.001097,0.10069,0.17261300000000002,0.000171,0.005475,0.008067,0.998448
../data/VOCdevkit/VOC2012\JPEGImages\2010_004836.jpg,0.002451,0.000808,0.000686,0.0001,0.006058,0.00031099999999999997,0.015009999999999999,0.024332,0.006104999999999999,4e-05,0.00043200000000000004,0.000595,0.00035099999999999997,0.000204,0.129805,0.010352,0.00010700000000000001,0.0012929999999999999,0.000198,0.998291
../data/VOCdevkit/VOC2012\JPEGImages\2008_002082.jpg,0.000139,0.0007769999999999999,0.00151,5.1e-05,0.021325999999999998,9.499999999999999e-05,0.00029,0.03374,0.651574,7.6e-05,0.019434,0.002309,0.00018,0.000167,0.08133,0.0858,0.000117,0.10918,0.000558,0.998288
../data/VOCdevkit/VOC2012\JPEGImages\2008_006031.jpg,0.011859999999999999,0.001801,0.001726,0.0010890000000000001,0.011964,0.00091,0.0020039999999999997,0.00414,0.086792,0.000153,0.006997,0.000608,0.0035659999999999997,0.000156,0.075909,0.041129,0.000147,0.0016010000000000002,0.001565,0.998122
../data/VOCdevkit/VOC2012\JPEGImages\2009_001069.jpg,0.0017620000000000001,0.001515,0.0019210000000000002,0.000317,0.013057,0.003331,0.003109,0.026057999999999998,0.129666,0.000299,0.007956999999999999,0.002019,0.002332,0.000263,0.086491,0.049395,0.00018,0.0038179999999999998,0.001506,0.9979879999999999
