image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_001434.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_001858.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_002673.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.008,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_005685.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.007,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_002191.jpg,"['aeroplane', 'person']",1.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.012,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_003801.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_002752.jpg,"['aeroplane', 'person']",1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.003,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_003950.jpg,"['aeroplane', 'person']",1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_006200.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_004704.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.059,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000417.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_001081.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_005953.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_001174.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_003458.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0
