image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_000002.jpg,['tvmonitor'],0.2752880156040192,0.0006588716641999781,0.00014772404392715544,0.00021742684475611893,0.04182782769203186,0.00026231061201542616,0.004299012478441,0.01627131551504135,0.004749043378978968,5.151211735210381e-05,0.0008466330473311245,0.00012456461263354868,0.0002407907013548538,0.0004789414815604687,0.02227264083921909,0.005252875853329897,0.00013166316784918308,0.00261847791261971,0.0006895234691910447,0.9446943402290344
../data/VOCdevkit/VOC2012\JPEGImages\2008_000003.jpg,"['person', 'train']",0.0007292354130186139,0.0034521992783993483,0.003298828611150384,0.002500542672351003,0.008898245170712471,0.013591078110039234,0.0036507414188236,0.0013178042136132715,0.0015740088419988751,0.0019278416875749824,0.0004735738621093333,0.009120692498981951,0.0008638867875561117,0.0011750757694244385,0.14797015488147736,0.007434605155140162,0.0026171656791120768,0.0023571790661662817,0.8310602307319641,0.003422858426347375
../data/VOCdevkit/VOC2012\JPEGImages\2008_000007.jpg,['boat'],0.04138904437422752,0.00034989297273568814,0.00136679841671139,0.9078404903411864,0.032596804201602936,0.007404258009046315,0.0029892085585743193,0.0005007750587537885,0.002249879064038396,0.00041623215656727547,0.006702371407300235,0.0005322280339896679,0.000454831140814349,0.0007665443699806929,0.13020122051239014,0.0018453607335686684,0.00015947490464895964,0.0018311082385480406,0.00662646722048521,0.0014075461076572535
../data/VOCdevkit/VOC2012\JPEGImages\2008_000009.jpg,['cow'],0.0007260327693074943,0.0023321574553847317,0.003027013037353754,0.001590142259374261,0.0011983794393017886,0.0025727248284965754,0.030084569007158283,0.0008229943341575563,0.0020494060590863232,0.19466766715049744,0.00025286496384069324,0.023664990440011024,0.08079049736261368,0.00048192735994234676,0.018546326085925102,0.0008587107295170425,0.37596070766448975,0.0004924969980493189,0.001196977449581027,1.8648952391231436e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000016.jpg,['tvmonitor'],0.005663626361638308,0.005442668218165636,0.000375894655007869,5.455867722048424e-05,0.02139066159725189,0.0014508021995425224,0.006268102210015058,0.003094120416790247,0.011085147969424723,3.610958447097801e-05,0.00042405145359225566,0.0006995518342591822,0.00013482425129041076,0.000529063050635159,0.02332523837685585,0.008084719069302082,0.0001329750957665965,0.0014583144802600145,0.002791411010548473,0.9960759282112122
../data/VOCdevkit/VOC2012\JPEGImages\2008_000021.jpg,['aeroplane'],0.9998637437820436,0.0022297916002571587,0.00010991145973093809,0.00032791862031444907,0.0028274040669202805,0.001844150829128921,0.0007536350167356431,4.2652998672565445e-05,0.00021947259665466842,0.0008158393320627512,0.00031001438037492335,0.00012395025987643749,0.010033107362687588,0.00871479045599699,0.11543077975511552,0.0004697261028923095,0.00030056879040785134,0.0005347038386389613,0.0006770876934751867,0.0006944017368368803
../data/VOCdevkit/VOC2012\JPEGImages\2008_000026.jpg,"['dog', 'person']",2.3955903088790365e-05,0.01413167268037796,0.03314898535609245,0.0006745754508301616,0.11975481361150743,0.0010745488107204435,0.026544451713562008,0.007708172313868999,0.06175824627280235,0.007990379817783833,0.006841597147285938,0.18038047850131989,0.004424639977514744,0.0008164840401150286,0.999472200870514,0.025674981996417046,0.00983541738241911,0.002574424957856536,0.0012826700694859028,0.001580224372446537
../data/VOCdevkit/VOC2012\JPEGImages\2008_000027.jpg,['car'],0.0006562896305695176,0.005364904180169106,0.0005960438284091651,0.0022825850173830986,0.0049089333042502395,0.0006484934128820896,0.9987295269966124,0.0022307818289846178,0.002552581252530217,0.001629177015274763,0.0022149898577481513,0.006294803693890572,0.00041540170786902314,0.02103255875408649,0.3442392945289612,0.0035899793729186062,0.0004991478635929525,0.0004304618632886559,0.00036486145108938217,4.472792716114782e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000032.jpg,"['bus', 'person']",0.0008652551914565265,0.009081870317459106,0.007823477499186994,0.005597144830971956,0.01332450844347477,0.7216997742652893,0.032065413892269135,0.003212618874385953,0.0061488235369324675,0.002004065550863743,0.011891069822013378,0.002067652298137545,0.001510060392320156,0.0014431531308218837,0.4895031750202179,0.01751004904508591,0.00424654223024845,0.002570481738075614,0.024159565567970283,0.001492904732003808
../data/VOCdevkit/VOC2012\JPEGImages\2008_000034.jpg,"['bottle', 'person']",0.0002882819389924407,0.004459026735275985,0.000565061520319432,0.001268122810870409,0.4418734610080719,0.0013506923569366336,0.004543805494904518,0.005070401355624199,0.06367968767881392,0.000679528689943254,0.03432546555995941,0.0034710136242210865,0.00028687625308521087,0.0009097006404772401,0.9998185038566588,0.011398602277040482,0.0014369655400514605,0.04541175812482834,0.0011111563071608543,0.02925775945186615
../data/VOCdevkit/VOC2012\JPEGImages\2008_000042.jpg,['car'],0.000992653425782919,0.006053466815501452,0.0043493867851793775,0.020632382482290268,0.001967370044440031,0.007501292042434214,0.056639414280653,0.0009527644142508508,0.005583644378930329,0.0024094125255942345,0.000759068934712559,0.023867590352892883,0.0014006023993715644,0.0009160592453554274,0.034182049334049225,0.015855543315410614,0.0017639205325394867,0.0007703343289904296,0.009966612793505192,6.900500011397526e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000043.jpg,"['chair', 'diningtable']",9.498940926278009e-05,0.010816055350005628,0.0014366117538884284,0.00011188031203346328,0.09867992252111436,0.00010158642544411124,0.0013840298634022474,0.0007211214397102593,0.9998952150344848,0.00015416067617479712,0.9842326641082764,0.0038067069835960865,0.00026742162299342453,0.0001888158149085939,0.0011497379746288061,0.08152620494365692,8.295391307910904e-05,0.0183404628187418,2.081786260532681e-05,0.0025558113120496273
../data/VOCdevkit/VOC2012\JPEGImages\2008_000050.jpg,['car'],0.10803592205047607,0.012385446578264236,0.00011292856652289629,0.011301775462925434,0.005247812718153,0.047815486788749695,0.9087724089622498,0.0009182263747788967,0.0003666556149255484,0.00023672640963923183,0.00032745939097367227,0.00020117097301408648,0.0005688121891580522,0.06169914454221725,0.16278347373008728,0.0010219402611255646,0.0014815001050010324,0.0004353690019343048,0.010427432134747505,0.0008622105233371258
../data/VOCdevkit/VOC2012\JPEGImages\2008_000051.jpg,"['bottle', 'chair', 'person']",0.00032141449628397817,0.0019008731469511984,0.001130320131778717,0.0008551347418688238,0.8295302391052246,0.0009478058782406152,0.0010605757124722004,0.0017345472006127238,0.33095523715019226,0.00047877369797788566,0.11228476464748384,0.00365052092820406,0.00010131332237506284,0.003254532814025879,0.9803465604782104,0.015772750601172447,0.0004213018692098558,0.06743902713060379,0.0002724129299167544,0.20424218475818634
../data/VOCdevkit/VOC2012\JPEGImages\2008_000052.jpg,"['car', 'person']",0.02608131244778633,0.008443127386271955,0.00041477687773294747,0.0033828248269855976,0.0015415202360600233,0.023636134341359142,0.8553389906883241,0.0006348465685732662,0.00027012042119167745,0.0028885672800242897,0.0004077237390447408,0.0008450903696939349,0.0036281971260905274,0.015981856733560562,0.6740004420280457,0.0006183788063935934,0.003824496641755104,0.0001798089360818267,0.007419032976031303,4.0693837945582345e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000054.jpg,['bird'],0.002908753463998437,0.0016021926421672106,0.9992069602012634,0.0011630036169663072,0.00628389324992895,0.00021683267550542948,0.0011087212478742003,0.00040358444675803195,0.0005047853919677436,0.0005853987531736492,0.0002822637907229364,0.000753339845687151,9.067804785445333e-05,0.001161406631581485,0.0007278512930497527,0.00011015100608346985,0.0018449743511155246,0.00024596936418674886,3.138724423479289e-05,0.0004648110480047762
../data/VOCdevkit/VOC2012\JPEGImages\2008_000056.jpg,['cat'],7.741073932265863e-05,0.00017963757272809744,0.00012447709741536528,0.00023009741562418642,0.0015979952877387404,0.00018921970331575722,0.00188132340554148,0.996232807636261,0.0018481594743207093,0.00012743384286295625,9.220809442922472e-05,0.08920891582965851,6.36062686680816e-05,4.275737592251971e-05,0.0021144887432456017,0.001265746192075312,0.0002969958877656609,0.0010363301262259483,5.94881239521783e-05,0.00037365240859799087
../data/VOCdevkit/VOC2012\JPEGImages\2008_000059.jpg,['dog'],8.286907541332766e-05,0.0001991085009649396,0.0001306619815295562,0.0004083694075234233,0.006009987555444241,0.00013460176705848426,0.0027863718569278717,0.000563618668820709,0.014094074256718159,0.0009737149230204524,0.00047571418690495193,0.999472200870514,0.00036120589356869465,0.00018856339738704264,0.09287888556718826,0.010460692457854748,5.268175300443545e-05,0.003474340541288257,0.0001322043826803565,0.00220574252307415
../data/VOCdevkit/VOC2012\JPEGImages\2008_000062.jpg,['cat'],0.00031110632698982954,0.0005574915558099747,0.00030175287974998355,7.736380212008953e-05,0.005521404091268778,5.747521936427802e-05,0.0004474151646718383,0.998763918876648,0.00012319519009906799,0.00013383399345912042,4.110454028705135e-05,0.00011552682553883642,1.2645092283491975e-05,6.732707697665319e-05,0.0013504126109182837,0.0002891605836339295,0.003913196735084057,0.00013825923088006675,2.496206434443593e-05,0.00017486233264207843
../data/VOCdevkit/VOC2012\JPEGImages\2008_000064.jpg,['aeroplane'],0.9877190589904784,0.0037376652471721172,0.00024439889239147305,0.055071204900741584,0.004068004433065653,0.0018117668805643923,0.009041433222591877,0.0002042230044025928,0.0005610644002445042,9.277822391595693e-05,0.0002966070896945894,0.00017421793018002063,0.002534524071961641,0.0038916384801268578,0.047417525202035904,0.0014164404710754752,7.981947419466451e-05,0.00020394922466948628,0.006998637225478888,0.00029017939232289786
